meta_column,n_samples,n_groups,AS_stat,T_AV_stat,p_value,test_name,n_ties,sig,warning,method,n_sim,message,null_dist1,null_dist2,significant,sig_label
DEGAS,200,2,0.272,-0.96495,0.9612,Anderson-Darling,0,0.75419,0,asymptotic,1,OK,,,FALSE,ns
LP_SGL,300,3,0.272,-1.6177,1,Anderson-Darling,0,1.06814,0,asymptotic,1,OK,,,FALSE,ns
scAB,200,2,0.269,-0.96913,0.96312,Anderson-Darling,0,0.75419,0,asymptotic,1,OK,,,FALSE,ns
scPAS,300,3,0.652,-1.2624,0.9845,Anderson-Darling,0,1.06814,0,asymptotic,1,OK,,,FALSE,ns
scissor,,,,,,,,,,,,分组数不足,,,,ns
