gene,logFC,logCPM,F,PValue,FDR
ZNF469,-1.47053678732974,1.94258871274011,36.2222287358016,2.5147239343896e-06,0.0369236915286425
SLC25A42,0.583309691274541,5.7007004086735,24.8584510314644,3.64548928966454e-05,0.267633596200722
PFKFB3,-1.40195553990171,6.43289026559843,21.4834506407834,9.13744265595621e-05,0.345543562513151
HPGD,-1.59836284695733,0.806824780986829,20.7534634066203,0.000112594426142485,0.345543562513151
LINC00330,-2.50517404237315,-0.215100195021412,20.4579558042616,0.000123387344219771,0.345543562513151
SLN,0.685205795204243,10.702202825284,19.3579011826999,0.000169173251805223,0.354852979465156
ADAM19,-0.59020342634742,3.84965260552588,17.6055101142451,0.000288061294716844,0.453302700633537
LINC02110,-1.13370794988971,-2.87480620288535,16.4500073988985,0.000418363995196819,0.496567619287184
EID3,0.781637810776092,-2.13413381022948,16.3465029133904,0.000439351767039532,0.496567619287184
ACTC1,3.89149387204269,8.19430621396371,15.8226580742146,0.000507641825619418,0.496567619287184
HOXA4,0.599199498820682,2.65820709769704,15.5748044925891,0.000550450055816048,0.496567619287184
NPR3,-2.24574246371371,1.2833382583398,15.1824010234883,0.000626662726560386,0.496567619287184
MLYCD,0.713965889069723,5.61778692686571,15.1583460218955,0.000631388124779952,0.496567619287184
ENSG00000248986,-1.07295010064861,-2.21047441995505,15.0544232292075,0.000671647429686958,0.496567619287184
SLC26A9,-1.57064563928107,0.950672185721317,14.9291149379041,0.00068165233963293,0.496567619287184
ANKRD2,2.16971030077043,8.89140449345765,14.9148694991154,0.000684631378030079,0.496567619287184
TNFRSF12A,2.26005599975506,4.74671787222848,14.4770880238848,0.000793021959630834,0.507602662989987
PRR11,-0.645946868797295,-0.930526101671599,13.5928450974828,0.00107574492228655,0.507602662989987
ADGRB2,1.2800521696898,0.575206348556935,13.5015690635523,0.00110825651654922,0.507602662989987
CLDND2,0.639312562924705,-1.20137649469843,13.4926114570828,0.00111536497909314,0.507602662989987
CCNA1,3.63197366509442,-1.1178034988963,13.1808688100534,0.00117437050156677,0.507602662989987
GRAMD1C,-1.24416676169906,0.65538569760596,12.2353155379316,0.00173522910293009,0.592619982383809
KLHL6,-0.667819008688385,0.0273536117267232,12.0042059888778,0.00188720770687019,0.592619982383809
VSIG10L,0.710987057810037,-1.55125998857431,11.7595355496463,0.00207474974146301,0.592619982383809
CSRNP1,0.741084226303016,3.47943523015913,11.7428949680386,0.00207503292846585,0.592619982383809
