gene,logFC,logCPM,F,PValue,FDR
EPB41L3,1.92373435299861,4.15295269207232,40.8249380524994,9.46767727858786e-08,0.00148595194887437
TNFAIP6,2.11642936581525,0.713454515141288,36.3156651991724,3.26600906500298e-07,0.00208682272649263
CDKN2A,4.97916200932056,-1.26316865211116,33.3709668196986,5.19376303824348e-07,0.00208682272649263
AC147651.4,1.4445085707522,-0.757598903302498,33.5359797389473,7.09588112200346e-07,0.00208682272649263
DEGS2,2.46774983242796,-1.75935349236468,30.9781604330575,9.456696038181e-07,0.00208682272649263
FAM225A,2.06175672475697,1.13920620658441,32.5845217147959,9.48234499487522e-07,0.00208682272649263
CDKN1A,3.7459400275627,4.78140379894477,32.5064177633056,9.59557062219699e-07,0.00208682272649263
KLF13,-0.755977672072556,6.1983281065069,32.1007463534268,1.07794245228335e-06,0.00208682272649263
IFFO2,1.17486306577239,2.72372017812819,31.759120173605,1.19664890337264e-06,0.00208682272649263
GPR37,2.31503507084563,-1.15765910819321,30.5410900785791,1.39136880472069e-06,0.00218375333900912
GALNT6,2.37869487632584,-0.11906532150077,30.190320527701,1.85958245751856e-06,0.00221862809629722
AQP3,1.63265844250865,1.37811770035222,30.3121721227977,1.8601417505687e-06,0.00221862809629722
FAM225B,1.99842762275675,1.14423933008524,30.0069027462396,2.04769382277231e-06,0.00221862809629722
HDC,2.18507250220473,0.350816721275094,29.8047224478315,2.16788540388931e-06,0.00221862809629722
RUNX1,3.13213763745253,3.80361697388343,29.1772491478946,2.61697561818327e-06,0.00221862809629722
KYNU,3.54404535879502,-0.471052123712392,28.0209997922384,2.74368168129077e-06,0.00221862809629722
SPP1,6.62090931403661,2.26441333964281,27.6987157885641,2.82841245608893e-06,0.00221862809629722
SLC22A18,1.906070509267,1.42267702507249,28.620331659446,3.12905654930273e-06,0.00221862809629722
SPATA2L,1.73598254428526,0.31071568921927,28.5231116560138,3.24542248060212e-06,0.00221862809629722
FGF18,2.31376941604965,0.322863523343327,28.2776560304059,3.45537848059144e-06,0.00221862809629722
HAS3,-1.09934683267291,0.906706573737855,28.1150966245909,3.65778712592713e-06,0.00221862809629722
ITPKA,3.78424084906618,-1.47153676637539,26.6206300486723,3.6846339260754e-06,0.00221862809629722
DNAAF3,2.24004780463744,-2.28189791609309,26.2052293891735,4.00264222708302e-06,0.00221862809629722
ZDHHC12,0.967953081704178,2.06458704707047,27.7204140587855,4.11432901075497e-06,0.00221862809629722
SERP2,1.51135564766119,0.0117724635645802,27.532067556884,4.43024390142997e-06,0.00221862809629722
