meta_column,n_samples,n_groups,AS_stat,T_AV_stat,p_value,test_name,n_ties,sig,warning,method,n_sim,message,null_dist1,null_dist2,significant,sig_label
DEGAS,200,2,0.189,-1.0754,0.99469,Anderson-Darling,0,0.75419,0,asymptotic,1,OK,,,FALSE,ns
LP_SGL,300,3,0.215,-1.6709,1,Anderson-Darling,0,1.06814,0,asymptotic,1,OK,,,FALSE,ns
PIPET,,,,,,,,,,,,分组数不足,,,,ns
scAB,200,2,0.121,-1.1651,0.9999,Anderson-Darling,0,0.75419,0,asymptotic,1,OK,,,FALSE,ns
scPAS,300,3,0.425,-1.4742,0.99956,Anderson-Darling,0,1.06814,0,asymptotic,1,OK,,,FALSE,ns
scPP,300,3,0.273,-1.6167,1,Anderson-Darling,0,1.06814,0,asymptotic,1,OK,,,FALSE,ns
scissor,300,3,0.237,-1.6504,1,Anderson-Darling,0,1.06814,0,asymptotic,1,OK,,,FALSE,ns
