"",nfeature,y_axis,Accuracy
1,3200,KNN | FALSE,0.941202063521661
2,2000,ALRA | TRUE,0.939772515383181
3,2600,KNN | FALSE,0.93744173037479
4,4100,ALRA | TRUE,0.953881533967307
5,4800,None | TRUE,0.928398284542234
6,1300,ALRA | FALSE,0.952576294362608
7,900,KNN | TRUE,0.934302939896824
8,4200,None | TRUE,0.927932127540556
9,2000,KNN | FALSE,0.937534961775126
10,800,ALRA | TRUE,0.943315308595935
11,3800,KNN | TRUE,0.950276586487662
12,4300,None | TRUE,0.927932127540556
13,2600,None | FALSE,0.921126235316054
14,3000,ALRA | FALSE,0.942382994592579
15,1000,ALRA | FALSE,0.925881036733172
16,1900,KNN | FALSE,0.93744173037479
17,1800,None | TRUE,0.921872086518739
18,1800,KNN | TRUE,0.938498352911927
19,800,ALRA | TRUE,0.94334638572938
20,800,KNN | FALSE,0.937659270308907
21,2500,None | FALSE,0.920877618248493
22,4400,ALRA | FALSE,0.955000310771334
23,2400,ALRA | FALSE,0.949033501149854
24,700,None | TRUE,0.947106718876251
25,4000,ALRA | TRUE,0.955186773572006
26,3500,KNN | TRUE,0.948225495680278
27,3300,ALRA | TRUE,0.955932624774691
28,900,None | TRUE,0.931630306420536
29,600,ALRA | FALSE,0.953322145565293
30,4400,None | TRUE,0.927807819006775
31,2400,ALRA | TRUE,0.937752501709242
32,4800,ALRA | FALSE,0.955124619305115
33,700,None | FALSE,0.933122008825906
34,2700,KNN | FALSE,0.936913419106222
35,4500,KNN | FALSE,0.941761451923675
36,4000,ALRA | TRUE,0.954471999502766
37,1200,None | TRUE,0.930946609484741
38,3600,KNN | FALSE,0.941357449188887
39,4600,KNN | TRUE,0.95139536329169
40,4700,KNN | FALSE,0.94185468332401
41,600,KNN | FALSE,0.937410653241345
42,1900,None | FALSE,0.923767791658897
43,4200,None | FALSE,0.929485984212816
44,1000,None | FALSE,0.928118590341227
45,3300,None | TRUE,0.927963204674001
46,3600,KNN | TRUE,0.950835974889676
47,1200,KNN | FALSE,0.935577102368078
48,3000,KNN | TRUE,0.939679283982845
49,2100,KNN | FALSE,0.937410653241345
50,1200,KNN | TRUE,0.937472807508236
51,2000,None | TRUE,0.922120703586301
