gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
GAB1,0.582538045603981,12.9069110839522,4.56011599702364,4.67466610369799e-05,0.150270533356589,1.70608400092304
TERF2IP,-0.780388678648723,13.0340878436205,-4.51027871371803,5.46496137507575e-05,0.150270533356589,1.57856373617456
PEX11B,-0.644014153147427,13.8573328755974,-4.4471195893638,6.65708680615775e-05,0.150270533356589,1.41739825191893
GAP43,-0.828075982914532,13.7755492347051,-4.25997473733278,0.000118924245797372,0.150270533356589,0.943137007709662
SVOP,-0.860900442500855,11.166535441301,-4.24720408589574,0.000123695140909921,0.150270533356589,0.91097143305606
ENO2,-1.09290007412197,13.152624149514,-4.23138975343448,0.00012986287742196,0.150270533356589,0.87117750430945
BNIP3,-0.685501785133405,11.8183689404029,-4.14534932545597,0.00016905889299283,0.150270533356589,0.655434344529206
OFD1,0.807983968031467,11.1985470614092,4.12585491740302,0.000179428261605893,0.150270533356589,0.606739136055746
SYT17,-0.753115824812871,11.3251400291748,-4.09769558472191,0.000195508819434847,0.150270533356589,0.536526622090914
MAGEE1,-0.689906206591595,12.1929552791097,-4.09552716304725,0.000196803753086928,0.150270533356589,0.531126193099186
PRKAG2-AS1,-0.85414435924546,10.1492258882181,-4.08684135571632,0.000202074999131484,0.150270533356589,0.509503457087713
SACS,-0.750716365797357,11.3184914053548,-4.06620435709375,0.000215156674934028,0.150270533356589,0.458188444556823
NRXN3,-0.692906255859473,12.1357643142284,-4.05652983214785,0.000221569685696723,0.150270533356589,0.43416135641338
ARL8B,-0.998231671835963,13.2654275077367,-4.04309743625248,0.000230783044982987,0.150270533356589,0.400832697331285
BEX5,-0.812466273992907,11.5987086262091,-4.01607547290969,0.000250460358558043,0.152890395127275,0.333897181943759
IL13RA1,0.635108229574567,11.8534245247026,3.99363693422546,0.000268031540074546,0.153992003053417,0.27843080846617
GFAP,0.763128899109812,13.0198502744252,3.93788544616953,0.000317034332874494,0.172026351621399,0.141085849484385
SLC2A3,-0.658884325961261,12.3255200849734,-3.87142558252577,0.000386868401213695,0.188927183732708,-0.0217294557322045
TCEAL2,-0.608366754489547,12.6714908020279,-3.80885705342098,0.000466093424609085,0.21141501498678,-0.174059543991546
CSPG4,1.08834047745501,9.57502132755896,3.77535817626943,0.000514744558851935,0.21141501498678,-0.255219839129697
SNX27,-0.697866815466157,11.4640349409746,-3.75848866538894,0.00054106785706743,0.21141501498678,-0.295983073408822
NAPB,-0.733230492933398,13.127964223137,-3.73957465622289,0.000572127989037739,0.21141501498678,-0.341599171917295
SLITRK4,-1.01696541204271,10.1798724583619,-3.7384791725021,0.000573978754662181,0.21141501498678,-0.344238360068522
DMTF1,0.633307458069855,10.6480451266239,3.7257820313274,0.00059585612627583,0.21141501498678,-0.374804691544223
ATP6V1E1,-0.777152774181767,12.4469053727052,-3.71999973494559,0.000606083794371849,0.21141501498678,-0.388710523211381
HK1,-0.770825669733874,10.6330219250826,-3.70540718441923,0.000632653764933435,0.211866441810433,-0.423764499163779
PLEKHH1,0.678962163239678,13.7366021553268,3.65503876179893,0.000733269202152953,0.211866441810433,-0.54431493490203
