meta_column,n_samples,n_groups,AS_stat,T_AV_stat,p_value,test_name,n_ties,sig,warning,null_dist1,null_dist2,method,n_sim,message,significant,sig_label
DEGAS,,,,,,,,,,,,,,No enough groups,,ns
LP_SGL,,,,,,,,,,,,,,No enough groups,,ns
scAB,200,2,0.746,-0.33619,0.52271,Anderson-Darling,0,0.75419,FALSE,,,asymptotic,1,OK,FALSE,ns
scPAS,,,,,,,,,,,,,,No enough groups,,ns
scPP,300,3,1.15,-0.79382,0.79964,Anderson-Darling,0,1.06814,FALSE,,,asymptotic,1,OK,FALSE,ns
scissor,,,,,,,,,,,,,,No enough groups,,ns
