"",all_results,benchmark
lu_adc_GSE123902_GSM3516662_169727105910492,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_170258473082205,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_170258487754147,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_170265198906595,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_170327460927262,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_170327461522267,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_170660098627998,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_170660099479835,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_191026834062700,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_191215631808285,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_191553907353461,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_191576455989685,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_191774157924140,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_192101783365918,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_192121065134878,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_192121065388342,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_192180147631853,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_192653667789734,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_192678095703470,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_192718870624051,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_192788825554347,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_192806932137766,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_192859679976692,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_195547390236587,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_195547420845979,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_195562319559925,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_195606476674861,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_195622417919220,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_195623342488284,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_195625757882796,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_196163851414325,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_196174320684259,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_196527701310318,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_196715472080238,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_197068867692772,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_197068882335989,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_197068913294566,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_197145264244588,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_197213600202163,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_197213600234286,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_197256817892133,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_197264034155763,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_199944375065014,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_199962360211179,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_199962379115830,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_199962379634611,TRUE,TRUE
lu_adc_GSE123902_GSM3516662_200426619059419,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_200426619787508,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_200426638137629,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_200441248795995,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_200441249556334,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_200561527482206,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_201465571527542,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_201465571756964,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_201474310266277,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_201585844960052,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_204224163175643,TRUE,TRUE
lu_adc_GSE123902_GSM3516662_204224194538790,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_204427100806580,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_204756770801580,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_204765475584806,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_205518973815652,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_226822401743646,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_226822402262838,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_226901441861342,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_226970341890859,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_227305168426859,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_227305183176435,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_227354829507884,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_227354874960302,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_227510433826611,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_227853851019613,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_227981760255787,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_227990499411814,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_227991450708724,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_230592295098740,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_230592341560028,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_230611668847990,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_230800332905245,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_230807863749876,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_230816721524590,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_231340585642910,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_231760553240356,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_231760572599222,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_231770083245277,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_231891434399589,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_231897696979294,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_231917024110837,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_232301316659628,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_232318649683292,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_235119995930483,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_235120010881387,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_235120010939763,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_235120022670118,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_235120042097909,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_235122036004588,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_235626667625269,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_235678476220726,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_235695817312684,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_236082095605606,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_236170026801012,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_236177524899166,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_236633971346358,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_236639608790428,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_236639624056179,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_236639654690038,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_236785397025708,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_239391475390828,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_239407492971438,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_239448276028278,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_239587849885924,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_239932668602163,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_240001521965915,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_240154770782558,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_240154817739062,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_240161228541213,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_240498368493414,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_241057699838877,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_241114561854197,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_241114608199518,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_120703436406133,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_120726924966819,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_120772980529563,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_120786773228382,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_120786773264813,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_120786786077931,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_120864497621860,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_121202296351158,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_121202310822323,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_121276814969579,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_121276833089899,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_121276833156531,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_121276833937654,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_121319736858523,TRUE,FALSE
