"",scAB_markers,scPAS_markers
1,MGST1,TFAP2A
2,KRT19,ANKRD30A
3,EPCAM,CD24
4,C3orf14,KRT19
5,CYB5A,RAB25
6,SPINT1-AS1,SMIM22
7,GGCT,AZGP1
8,TSPAN13,EFHD1
9,TFAP2A,GATA3
10,PLPP2,MGST1
11,PYCR1,TRAF4
12,SPTSSA,KRT8
13,EFHD1,SERHL2
14,PERP,KRT18
15,MRPL12,PERP
16,PPA2,IRX3
17,HEBP2,CDH1
18,PLGRKT,TACSTD2
19,ALDH3B2,TFF3
20,CD24,CRACR2B
