"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
IMP3,3.02643153167939e-58,-1.25684515046397,0.136,0.666,3.70162840639707e-54
KDM5B,3.25273915603763e-58,-1.53806171304492,0.093,0.571,3.97842526174963e-54
SMIM7,3.41662351182106e-58,-0.943238806230737,0.161,0.735,4.17887221730834e-54
CTBP2,3.80389753559521e-58,-1.43764643039281,0.093,0.568,4.6525470757865e-54
HADHB,4.50757872059405e-58,-1.33879223104744,0.122,0.631,5.51321953315859e-54
NUDT4,7.54582519022326e-58,-0.987481473967114,0.123,0.648,9.22929879016207e-54
THUMPD1,8.50053448817258e-58,-1.33541214482411,0.089,0.559,1.03970037324839e-53
RUFY3,9.05471741659712e-58,-1.25473433621981,0.083,0.55,1.10748248722399e-53
HSBP1L1,9.89804174535641e-58,-1.27737336288136,0.089,0.562,1.21062948587454e-53
MEA1,1.2512107778297e-57,-1.31913020633245,0.178,0.741,1.53035590236351e-53
SUB1,1.34536243503288e-57,-1.74308584686257,0.548,0.977,1.64551279428872e-53
FDX1,1.48253341358177e-57,-1.67104330853735,0.121,0.617,1.81328661815187e-53
NIT2,1.58750357604546e-57,-1.40202097880194,0.089,0.559,1.9416756238612e-53
SF3B5,1.63591308270008e-57,-1.52026055532391,0.41,0.896,2.00088529145047e-53
ETFRF1,2.06091495825505e-57,-1.62042767522385,0.078,0.522,2.52070508544176e-53
TTC3,2.1559383975027e-57,-1.32987834222604,0.237,0.833,2.63692825398555e-53
RPL7L1,2.24658500178744e-57,-1.18801244343172,0.142,0.677,2.74779811568622e-53
CAPZB,2.78132496607739e-57,-1.40096892133586,0.349,0.896,3.40183856600925e-53
SLC52A2,2.81641499017072e-57,-1.56530868789792,0.073,0.513,3.44475717447781e-53
GPBP1L1,3.00464404168492e-57,-1.2763105747606,0.085,0.553,3.67498012738483e-53
FAM173A,3.81388490681292e-57,-1.32757255066344,0.142,0.674,4.66476262952288e-53
CFAP298,4.14221687336875e-57,-1.68292751212229,0.069,0.501,5.06634545781732e-53
HMGCS1,5.27015388220427e-57,-1.69148770776312,0.09,0.55,6.44592521332405e-53
METTL23,7.06580900592702e-57,-1.37777690204021,0.103,0.582,8.64219099514934e-53
THOC2,7.22853873748279e-57,-1.20179546909204,0.146,0.68,8.8412257298152e-53
CLU,7.78176459638985e-57,-1.02984485025131,0.192,0.752,9.51787627784443e-53
SCD,8.81665711947919e-57,-1.49433689414679,0.107,0.591,1.0783653322835e-52
NUDT2,8.95938157696561e-57,-1.73069511081175,0.082,0.527,1.09582196067866e-52
PPIL4,9.35783957877712e-57,-1.41412385762722,0.077,0.519,1.14455735888023e-52
IMMP1L,1.00988556418021e-56,-1.15764616985108,0.075,0.522,1.23519103354882e-52
MSL1,1.09253953193035e-56,-1.24950922548001,0.121,0.625,1.33628510150401e-52
