meta_column,n_samples,n_groups,AS_stat,T_AV_stat,p_value,test_name,n_ties,sig,warning,method,n_sim,message,significant,sig_label
DEGAS,200,2,0.12,-1.1674,0.99991,Anderson-Darling,0,0.75419,FALSE,asymptotic,1,OK,FALSE,ns
LP_SGL,300,3,0.195,-1.6901,1,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,FALSE,ns
SCIPAC,300,3,0.265,-1.6243,1,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,FALSE,ns
scAB,200,2,0.0976,-1.1965,0.99999,Anderson-Darling,0,0.75419,FALSE,asymptotic,1,OK,FALSE,ns
scPAS,300,3,0.16,-1.7231,1,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,FALSE,ns
scissor,300,3,0.26,-1.6292,1,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,FALSE,ns
