meta_column,n_samples,n_groups,AS_stat,T_AV_stat,p_value,test_name,n_ties,sig,warning,null_dist1,null_dist2,method,n_sim,message,significant,sig_label
DEGAS,,,,,,,,,,,,,,分组数不足,,ns
LP_SGL,300,3,0.31,-1.5818,0.99999,Anderson-Darling,0,1.06814,0,,,asymptotic,1,OK,FALSE,ns
PIPET,300,3,0.315,-1.5778,0.99999,Anderson-Darling,0,1.06814,0,,,asymptotic,1,OK,FALSE,ns
scAB,200,2,0.14,-1.1399,0.99952,Anderson-Darling,0,0.75419,0,,,asymptotic,1,OK,FALSE,ns
scPAS,200,2,0.111,-1.1784,0.99996,Anderson-Darling,0,0.75419,0,,,asymptotic,1,OK,FALSE,ns
scissor,300,3,0.208,-1.678,1,Anderson-Darling,0,1.06814,0,,,asymptotic,1,OK,FALSE,ns
