"marker","count"
"CA125","3"
"CD24","1"
"CK7","1"
"Ecadherin","1"
"EPCAM","3"
"HE4","1"
"KL-6","1"
"KL6","1"
"KL7","1"
"KL8","1"
"KRT18","1"
"MUC16","3"
"PAX8","5"
"PIK3CA","1"
"SOX18","1"
"WFDC2","1"
"WT1","2"
