screen_method,pathway,pval,padj,log2err,ES,NES,size,leadingEdge,dataset,tumor
SCIPAC,GLYCOLYSIS,0.873481781376518,0.972741074714759,0.0182442460385585,-0.223828736065815,-0.779366140837836,150,"DCN, VCAN, COL5A1, TGFBI, IGFBP3, ANGPTL4, CXCR4, ISG20, STC1, CENPA, GALK2, HS6ST2, CDK1, GNE, CHST1, MERTK, MIF, ENO2, GLRX, HMMR, TPST1",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,FATTY_ACID_METABOLISM,0.0206688307072135,0.0533038265607086,0.352487857583619,-0.416327792349696,-1.43656050391004,117,"G0S2, LGALS1, CD36, CBR1, TDO2, IL4I1, HPGD, CBR3, HMGCS2, PTPRG, ACSL1, HSD17B11, CA2, ALDH1A1, CPT2, CRAT, BMPR1B, ACSL4, FMO1, MIF, MCEE, ENO2, OSTC, MLYCD, ODC1, RDH11",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,OXIDATIVE_PHOSPHORYLATION,1,1,0.00434551079568136,-0.116163885410121,-0.407346832851556,168,"MAOB, SLC25A6, SLC25A20, ATP5PO, BDH2, CYCS, ISCU, FDX1, CYB5R3, ACAT1, TIMM13, COX11, SDHD, LDHB, ETFB, OGDH, NDUFA6, ATP5F1D, NNT, MRPL34, BAX, IDH3A, UQCRB, DECR1, NDUFA4, COX4I1, VDAC3, FXN, ATP5MC1, OXA1L, TCIRG1, SDHB, ACAA2, TOMM22, ATP5PB, TIMM8B, CYC1, COX6C, ATP6V1C1, PDHB, AIFM1, ACADM, NDUFS8, NDUFB1, NDUFB6, MRPS30, GPX4, NDUFS7, UQCRC1, NDUFV1, NDUFA8, PHB2, MDH1, SLC25A5, POLR2F, ATP5PF, NDUFB3",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,XENOBIOTIC_METABOLISM,4.84922431386285e-05,0.000182778454907138,0.557332238758646,-0.4922508971938,-1.70474377847504,130,"APOE, TAT, HMOX1, UPP1, MAN1A1, CD36, PTGDS, CBR1, TDO2, IGF1, KYNU, ABCC3, BCAT1, SERPINE1, CA2, AKR1C3, GNMT, FAS, FBLN1, IRF8, ACOX2, SLC6A6, COMT, GCNT2, ALDH2, GSTO1, PPARD, IGFBP4, TGFB2, GCH1, FMO1, SLC46A3, ID2, TPST1, TNFRSF1A, NFS1, ACSM1, SMOX, CYP2J2, PSMB10, PC, AKR1C2, DHRS1, PYCR1, LONP1, SLC12A4",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,APICAL_SURFACE,0.00860292545725117,0.0257940646172389,0.380730400722792,-0.567787570003848,-1.62488817611896,29,"THY1, IL2RG, LYN, PLAUR, IL2RB, GAS1, CX3CL1, DCBLD2",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,MITOTIC_SPINDLE,0.689828801611279,0.866707981511607,0.0309900819310557,-0.256856894411529,-0.9037076743739,176,"NUSAP1, DOCK2, BIRC5, BIN1, TOP2A, FLNA, CCDC88A, SYNPO, PKD2, RHOF, FSCN1, NEK2, CENPE, PLK1, CDK1, NDC80, PLEKHG2, ARHGAP4, CCNB2, DOCK4, DST, SSH2, GSN, KIF2C, BRCA2, LMNB1, PRC1, PIF1, KIF20B, NEDD9, FBXO5, CEP131, SUN2, TTK, ABR, EPB41L2, MYO9B, TIAM1, ARHGAP10, ANLN",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,BILE_ACID_METABOLISM,0.59027027027027,0.784572680788897,0.0416556773979467,-0.289931228020715,-0.936038997427032,68,"LCK, CH25H, ACSL1, HSD17B11, FADS1, DIO2, GNMT, ALDH1A1, FADS2, ABCA6, MLYCD, BBOX1",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,DNA_REPAIR,0.917008196721311,0.998520036429872,0.0157010498237903,-0.209264400536791,-0.722113171528387,124,"PDE4B, HCLS1, CMPK2, PNP, TYMS, POLR3GL, POLA2, CLP1, RFC3, DUT, GSDME, POLR2E, ZWINT, SDCBP, MRPL40, NT5C3A, POLD3, TK2, AK1, POLR2D, UPF3B, PCNA, TAF12, NUDT9, EIF1B, REV3L, SUPT4H1, TAF1C, RPA2, GTF2H1, POLR2K, NME1, POLB, XPC, BRF2, POLR1D, IMPDH2, RALA, ELOA, LIG1, GMPR2, POLR2C, GPX4, NUDT21, DGCR8, MPG, RRM2B",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,CHOLESTEROL_HOMEOSTASIS,0.498901098901099,0.719004524886878,0.0500922874402106,-0.311063112260607,-0.989827933822395,60,"FABP5, PLAUR, LGMN, CXCL16, ETHE1, ANXA5, FADS2, LPL, SEMA3B, STARD4, ACSS2, TRIB3, MAL2, ABCA2, SCD, ANTXR2, SC5D, PCYT2, IDI1, FDPS, HMGCS1, TM7SF2",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,MYOGENESIS,2.13916659692124e-09,1.1646573694349e-08,0.774939030136436,-0.591025479115451,-2.03644349945878,116,"COL3A1, IGFBP7, SPARC, COL1A1, CFD, AEBP1, TPM2, COL6A3, COL6A2, LSP1, MEF2C, COL4A2, TGFB1, TAGLN, APOD, SOD3, CD36, COL15A1, IGFBP3, COX7A1, IGF1, SSPN, BIN1, PKIA, SPHK1, MYH11, ACSL1, CRYAB, FABP3, PVALB, KIFC3, EFS, TCAP, CRAT, TNNT1, FHL1, NAV2, TEAD4, PRNP, GPX3, ADAM12, MYL4",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,HEME_METABOLISM,0.838775510204082,0.972419247213504,0.0212906370865403,-0.230895093519234,-0.800438934527121,134,"HBB, MAP2K3, AQP3, GYPC, C3, MPP1, CA2, LMO2, CTSB, BMP2K, EZH1, KAT2B, SLC25A37, CLIC2, MYL4, FN3K, CCND3, SMOX, ACP5, PC, RCL1, SLC7A11, SDCBP, ERMAP, SYNJ1, ARL2BP",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,P53_PATHWAY,0.0998990918264379,0.203960645812311,0.138022242496643,-0.353662037774666,-1.23881499439738,164,"S100A4, KRT17, CCND2, TGFB1, IFI30, HMOX1, UPP1, ALOX15B, PITPNC1, CASP1, CLCA2, SPHK1, TCN2, PDGFA, VWA5A, FAS, APAF1, PROCR, STOM, PTPRE, F2R, PHLDA3, GADD45A, DEF6, CCND3, PPM1D, RGS16, ISCU, DRAM1, RHBDF2, CEBPA, CDKN2A, ZMAT3, SLC7A11, RNF19B, LDHB, TRIB3, RAD51C, AK1, ITGB4, S100A10, PCNA, TXNIP, RAD9A, CD82, EPHA2, SOCS1, CDKN2AIP, VDR, ABAT",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,PROTEIN_SECRETION,0.972369819341126,1,0.0139869590598254,-0.184395612576287,-0.606968774467408,83,"TSPAN8, SSPN, CTSC, GALC",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
