"",nfeature,imputation,independent,TPR,FPR,TNR,FNR,F1,Accuracy
1,1200,KNN,FALSE,0,0.0180411522633745,0.981958847736626,1,0,0.926937659270309
2,1400,None,FALSE,0,0.00546502057613169,0.994534979423868,1,0,0.93880912424638
3,3200,KNN,TRUE,0.00221852468108708,0.0154074074074074,0.984592592592593,0.997781475318913,0.00351648351648352,0.929548138479707
4,1000,KNN,FALSE,0,0.0218600823045268,0.978139917695473,1,0,0.923332711790664
5,2700,None,FALSE,0.0238491403216861,0.0129711934156379,0.987028806584362,0.976150859678314,0.0383928571428571,0.933059854559015
6,3600,KNN,TRUE,0.00166389351081531,0.019358024691358,0.980641975308642,0.998336106489185,0.0025062656641604,0.925787805332836
7,1500,None,FALSE,0,0.00358847736625514,0.996411522633745,1,0,0.940580520852757
8,600,ALRA,FALSE,0,0,1,1,0,0.943967928398285
9,4800,None,FALSE,0.0127565169162507,0.0112921810699588,0.988707818930041,0.987243483083749,0.0212079299216229,0.934023245695817
10,4900,None,TRUE,0.00998336106489185,0.0123127572016461,0.987687242798354,0.990016638935108,0.0164009111617312,0.932904468891789
11,800,None,FALSE,0,0.00786831275720165,0.992131687242798,1,0,0.936540493504879
12,600,KNN,TRUE,0,0,1,1,0,0.943967928398285
13,800,KNN,TRUE,0,0.00217283950617284,0.997827160493827,1,0,0.941916837590901
14,1900,ALRA,FALSE,0.00221852468108708,0.0869794238683128,0.913020576131687,0.997781475318913,0.00179815688918858,0.861986450369818
15,4900,None,FALSE,0.0138657792567942,0.0113251028806584,0.988674897119342,0.986134220743206,0.0230202578268877,0.934054322829262
16,1700,None,TRUE,0,0.00786831275720165,0.992131687242798,1,0,0.936540493504879
17,4500,ALRA,TRUE,0.246256239600666,0.0537283950617284,0.946271604938272,0.753743760399335,0.22892498066512,0.907048293865374
18,4700,ALRA,FALSE,0.0532445923460899,0.0116213991769547,0.988378600823045,0.94675540765391,0.0852575488454707,0.935981105102865
19,2400,ALRA,TRUE,0.014420410427066,0.00776954732510288,0.992230452674897,0.985579589572934,0.025181598062954,0.93744173037479
20,2200,ALRA,FALSE,0.233499722684415,0.00832921810699589,0.991670781893004,0.766500277315585,0.339927331449334,0.94918888681708
21,800,None,TRUE,0,0.00902057613168724,0.990979423868313,1,0,0.935452793834297
22,2500,None,TRUE,0.0171935662784248,0.0132674897119342,0.986732510288066,0.982806433721575,0.0277156906571301,0.932407234756666
23,800,KNN,FALSE,0,0.000790123456790123,0.99920987654321,1,0,0.9432220771956
24,1300,None,FALSE,0,0.00763786008230453,0.992362139917696,1,0,0.936758033438996
25,2100,ALRA,TRUE,0.00554631170271769,0.0048724279835391,0.995127572016461,0.994453688297282,0.0101988781234064,0.939679283982845
26,1800,KNN,TRUE,0,0.0637695473251029,0.936230452674897,1,0,0.883771520914911
27,1900,KNN,TRUE,0,0.0668312757201646,0.933168724279835,1,0,0.880881347504506
28,2100,ALRA,TRUE,0,0,1,1,0,0.943967928398285
29,1900,ALRA,TRUE,0,0.0728230452674897,0.92717695473251,1,0,0.875225309217478
30,3800,ALRA,FALSE,0.121464226289517,0.0272921810699588,0.972707818930041,0.878535773710483,0.153630305156086,0.925010876996706
31,1200,None,FALSE,0,0.00938271604938272,0.990617283950617,1,0,0.935110945366399
32,1000,KNN,TRUE,0,0.0303539094650206,0.969646090534979,1,0,0.9153148113618
33,2000,KNN,TRUE,0,0.0637037037037037,0.936296296296296,1,0,0.883833675181801
34,3900,None,FALSE,0.0138657792567942,0.0116543209876543,0.988345679012346,0.986134220743206,0.0229147571035747,0.93374355149481
35,1600,None,FALSE,0,0.00414814814814815,0.995851851851852,1,0,0.940052209584188
36,4300,KNN,FALSE,0.00332778702163062,0.00954732510288066,0.990452674897119,0.996672212978369,0.00571700809909481,0.935142022499845
37,3700,ALRA,FALSE,0.21630615640599,0.0207078189300412,0.979292181069959,0.78369384359401,0.276399716513111,0.936540493504879
38,3200,ALRA,TRUE,0.0959511924570161,0.0141893004115226,0.985810699588477,0.904048807542984,0.14374740340673,0.93595002796942
39,3700,ALRA,FALSE,0.145867997781475,0.00826337448559671,0.991736625514403,0.854132002218525,0.227017695295641,0.944340853999627
40,1300,ALRA,TRUE,0,0.0285761316872428,0.971423868312757,1,0,0.916992976567841
41,1900,ALRA,FALSE,0.00221852468108708,0.0851358024691358,0.914864197530864,0.997781475318913,0.00182107898930116,0.86372676984275
42,3400,KNN,FALSE,0.00942872989462008,0.0111604938271605,0.98883950617284,0.99057127010538,0.015748031496063,0.933961091428927
43,900,ALRA,FALSE,0,0.00042798353909465,0.999572016460905,1,0,0.943563925663497
44,3300,None,FALSE,0.0227398779811425,0.0120493827160494,0.987950617283951,0.977260122018857,0.03710407239819,0.933867860028591
45,2500,ALRA,FALSE,0.2318358291736,0.0168888888888889,0.983111111111111,0.768164170826401,0.305779078273592,0.941015600720989
46,3600,KNN,FALSE,0.00776483638380477,0.0114238683127572,0.988576131687243,0.992235163616195,0.0129390018484288,0.933619242961029
47,4200,KNN,FALSE,0.00388241819190239,0.0108312757201646,0.989168724279835,0.996117581808098,0.00654511453950444,0.933961091428927
48,3600,None,TRUE,0.0122018857459789,0.0127407407407407,0.987259259259259,0.987798114254021,0.0198915009041591,0.932624774690782
49,4100,KNN,FALSE,0,0,1,1,0,0.943967928398285
50,2100,None,FALSE,0.0293954520244038,0.0134650205761317,0.986534979423868,0.970604547975596,0.0467991169977925,0.932904468891789
51,2000,None,TRUE,0,0.007440329218107,0.992559670781893,1,0,0.936944496239667
