meta_column,n_samples,n_groups,AS_stat,T_AV_stat,p_value,test_name,n_ties,sig,warning,method,n_sim,message,null_dist1,null_dist2,significant,sig_label
DEGAS,200,2,0.583,-0.55298,0.66686,Anderson-Darling,0,0.75419,FALSE,asymptotic,1,OK,,,FALSE,ns
LP_SGL,300,3,1.81,-0.17857,0.47028,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,,,FALSE,ns
scAB,200,2,3.29,3.0349,0.019173,Anderson-Darling,0,0.75419,FALSE,asymptotic,1,OK,,,TRUE,*
scPAS,300,3,1.3,-0.65642,0.72234,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,,,FALSE,ns
scPP,,,,,,,,,,,,No enough groups,,,,ns
scissor,300,3,2.84,0.7908,0.17232,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,,,FALSE,ns
