TNBC_marker
BRCA1
BRCA2
KRT5
ESR1
PGR
ERBB2
KRT18
BCL2
SNAI2
VIM
EZH2
IGF2BP3
HOXD
LOXL2
FOXC1
LSD1
DNMT1
DNMT2
DNMT3
S100A
MYCN
HLF
CXCL13
SULT1E1
GBP1
HAGE
TYRO3
MAL2
FGFR1
FGFR2
FGFR3
FGFR4
EZH2
