"",scissor_markers,scAB_markers,scPAS_markers
1,LAPTM5,S100A13,TYROBP
2,FCER1G,MDK,FCER1G
3,HLA-DQA1,S100A16,HLA-DQA1
4,TYROBP,TM4SF1,LYZ
5,SRGN,BEX3,HLA-DPA1
6,HLA-DPA1,PHPT1,HLA-DPB1
7,HLA-DRB1,KRT8,AIF1
8,HLA-DPB1,LGALS3BP,HLA-DRA
9,S100A16,LAPTM4B,HLA-DRB1
10,LYZ,KRT19,FCGR2A
11,HLA-DRA,KRT18,C1QC
12,MDK,DUSP23,HLA-DQB1
13,GPR183,PCBD1,C1QA
14,C1QC,CD9,SPI1
15,C1QB,CRIP2,C1QB
16,AIF1,KRT7,CCL3
17,HLA-DQB1,GIPC1,LAPTM5
18,C1QA,IGFBP2,HLA-DMA
19,HLA-DRB5,PDLIM1,CTSS
20,FCGR2A,CLDN4,CD83
