meta_column,n_samples,n_groups,AS_stat,T_AV_stat,p_value,test_name,n_ties,sig,warning,null_dist1,null_dist2,method,n_sim,message,significant,sig_label
DEGAS,,,,,,,,,,,,,,分组数不足,,ns
LP_SGL,300,3,0.448,-1.4533,0.99924,Anderson-Darling,0,1.06814,0,,,asymptotic,1,OK,FALSE,ns
PIPET,300,3,0.322,-1.5708,0.99998,Anderson-Darling,0,1.06814,0,,,asymptotic,1,OK,FALSE,ns
scAB,200,2,0.273,-0.96352,0.96053,Anderson-Darling,0,0.75419,0,,,asymptotic,1,OK,FALSE,ns
scPAS,300,3,0.387,-1.5098,0.99984,Anderson-Darling,0,1.06814,0,,,asymptotic,1,OK,FALSE,ns
scPP,300,3,0.514,-1.3909,0.99726,Anderson-Darling,0,1.06814,0,,,asymptotic,1,OK,FALSE,ns
scissor,300,3,0.239,-1.6488,1,Anderson-Darling,0,1.06814,0,,,asymptotic,1,OK,FALSE,ns
