prob,Log2FC_cutoff,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
0.13,0.436,0.166959287110346,0.024526836446879,0.975473163553121,0.833040712889655,0.893617021276596,0.166959287110346,0.281352052920981,0.528874656907594
0.5,0.237,0,0,1,1,0,0,0,0.447630375114364
0.15,0.792,0.193957663895054,0.0286146425213588,0.971385357478641,0.806042336104946,0.893211289092296,0.193957663895054,0.318708834576234,0.54195791399817
0.25,0.259,0.34233279226157,0.0548992355802641,0.945100764419736,0.657667207738431,0.884987582426993,0.34233279226157,0.493693865851328,0.612150045745654
0.27,0.986,0.36568721635141,0.0634018722151821,0.936598127784818,0.634312783648591,0.876806989674345,0.36568721635141,0.516118474881362,0.62124428179323
0.23,0.757,0.310133501176003,0.0477455749499244,0.952254425050076,0.689866498823997,0.889078822412156,0.310133501176003,0.459857062160768,0.597566331198536
0.28,0.98,0.379269221850465,0.066672117074766,0.933327882925234,0.620730778149535,0.875305810397554,0.379269221850465,0.529225506737236,0.627282708142726
0.1,0.219,0.125186338490079,0.0185586395781384,0.981441360421862,0.874813661509922,0.892747460429955,0.125186338490079,0.21958163858222,0.508472095150961
0.31,0.949,0.421638453638984,0.0786902669337367,0.921309733066263,0.578361546361016,0.868627584794923,0.421638453638984,0.567707404103479,0.645306495882891
0.23,0.149,0.312419253320966,0.0496259657441851,0.950374034255815,0.687580746679034,0.885955847815876,0.312419253320966,0.461941614420063,0.597987191216834
0.01,0.6,0.00795044224334979,0.00269795200915669,0.997302047990843,0.99204955775665,0.784313725490196,0.00795044224334979,0.0157413176794674,0.450814272644099
0.21,0.946,0.278431112730646,0.0436986469361893,0.956301353063811,0.721568887269354,0.887164872282035,0.278431112730646,0.423842061470966,0.581866422689845
0.1,0.688,0.124159406366979,0.018436005395904,0.981563994604096,0.875840593633021,0.892593474636818,0.124159406366979,0.217995695922759,0.507959743824337
0.37,0.506,0.508530161990261,0.104402567142215,0.895597432857785,0.491469838009739,0.857358279810109,0.508530161990261,0.6384013973218,0.681793229643184
0.38,0.373,0.523304733825819,0.110697788496914,0.889302211503086,0.476695266174181,0.853661172656039,0.523304733825819,0.648854021194447,0.687136322049405
0.29,0.336,0.399178454301521,0.0686342639905163,0.931365736009484,0.60082154569848,0.877704129943914,0.399178454301521,0.548774933964842,0.63740164684355
0.09,0.048,0.109649849272866,0.017822834484732,0.982177165515268,0.890350150727134,0.883609183128671,0.109649849272866,0.195090325052309,0.500219579139982
0.16,0.619,0.210090436280518,0.0304541552548747,0.969545844745125,0.789909563719482,0.894877945534077,0.210090436280518,0.340290819337876,0.550045745654163
0.31,0.961,0.421539073110942,0.0786902669337367,0.921309733066263,0.578460926889058,0.868600682593857,0.421539073110942,0.567611570800901,0.645251601097896
0.39,0.655,0.534468479809189,0.116625107304909,0.883374892695091,0.465531520190811,0.849739295307316,0.534468479809189,0.656200431122138,0.690649588289113
0.38,0.51,0.522443435916123,0.110534276253935,0.889465723746065,0.477556564083877,0.853640054127199,0.522443435916123,0.648185442439686,0.686733760292772
0.37,0.15,0.509159572001193,0.106896128847647,0.893103871152353,0.490840427998807,0.854601056435919,0.509159572001193,0.638130034044673,0.681024702653248
0.29,0.87,0.395236360022526,0.0683072395045579,0.931692760495442,0.604763639977474,0.877150419056021,0.395236360022526,0.54493137545959,0.635370539798719
0,0.514,0,0,1,1,0,0,0,0.447630375114364
0.11,0.009,0.139861529797595,0.0209295671013367,0.979070432898663,0.860138470202405,0.891846218842417,0.139861529797595,0.241802926605767,0.51551692589204
0.19,0.019,0.252857190181204,0.0385888893430896,0.96141111065691,0.747142809818796,0.889938206832226,0.252857190181204,0.393819007326385,0.570027447392498
0.07,0.145,0.0815914135223772,0.014184687078445,0.985815312921555,0.918408586477623,0.876512455516014,0.0815914135223772,0.149286298754432,0.486349496797804
0.11,0.305,0.139232119786663,0.0204799084331439,0.979520091566856,0.860767880213337,0.893494897959184,0.139232119786663,0.24092172766616,0.515370539798719
0.02,0.826,0.0178222413621758,0.00519151371458938,0.994808486285411,0.982177758637824,0.809022556390977,0.0178222413621758,0.0348761830675483,0.455150960658737
0.08,0.502,0.0950409116507106,0.0156154192045129,0.984384580795487,0.904959088349289,0.882497693017533,0.0950409116507106,0.171601172318919,0.493138151875572
0.13,0.804,0.165402325504356,0.0242406900216654,0.975759309978335,0.834597674495644,0.893841747225206,0.165402325504356,0.279149078914265,0.528142726440988
0.12,0.061,0.153244774240567,0.0232596165637902,0.97674038343621,0.846755225759433,0.890471607314726,0.153244774240567,0.261488892657283,0.521866422689845
0.19,0.928,0.250074535396031,0.0387524015860688,0.961247598413931,0.749925464603969,0.888431211015653,0.250074535396031,0.390290559404405,0.568417200365965
0.41,0.808,0.55785603074171,0.130237501532927,0.869762498467073,0.44214396925829,0.840906821132528,0.55785603074171,0.670742636369068,0.69747483989021
0.15,0.079,0.196044654983933,0.0293504476147652,0.970649552385235,0.803955345016066,0.891802290536468,0.196044654983933,0.321429541319284,0.542781335773102
0.15,0.601,0.194984596018154,0.0286146425213588,0.971385357478641,0.805015403981846,0.893713938657759,0.194984596018154,0.320126179533897,0.54252516010979
0.31,0.715,0.424918011064365,0.0769733883824551,0.923026611617545,0.575081988935635,0.871991842284161,0.424918011064365,0.571396752566987,0.647886550777676
0.33,0.514,0.453605856825786,0.0852307566529044,0.914769243347096,0.546394143174214,0.867853973887692,0.453605856825786,0.595801153051235,0.66003659652333
0.4,0.72,0.546294762646172,0.123901402117484,0.876098597882517,0.453705237353828,0.84473926851757,0.546294762646172,0.663501579190891,0.693924977127173
