alpha,cutoff,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
0.55,0.05,0.0240169609434525,0.0278788374279524,0.972121162572048,0.975983039056547,0.515280739161336,0.0240169609434525,0.0458947901500285,0.448417200365965
0.35,0.1,0.0403153675423195,0.0471324040387524,0.952867595961248,0.95968463245768,0.513502109704641,0.0403153675423195,0.0747611880701539,0.448801463860933
0.2,0.15,0.0631397621492696,0.079017291419695,0.920982708580305,0.93686023785073,0.496483459234176,0.0631397621492696,0.11203197554811,0.447136322049405
0.15,0.2,0.0631397621492696,0.079017291419695,0.920982708580305,0.93686023785073,0.496483459234176,0.0631397621492696,0.11203197554811,0.447136322049405
0.1,0.25,0.0851691125318846,0.118464620038425,0.881535379961575,0.914830887468115,0.470104223806912,0.0851691125318846,0.144211352927978,0.441646843549863
0.1,0.3,0.0851691125318846,0.118464620038425,0.881535379961575,0.914830887468115,0.470104223806912,0.0851691125318846,0.144211352927978,0.441646843549863
0.05,0.35,0.0851691125318846,0.118464620038425,0.881535379961575,0.914830887468115,0.470104223806912,0.0851691125318846,0.144211352927978,0.441646843549863
0.05,0.4,0.0851691125318846,0.118464620038425,0.881535379961575,0.914830887468115,0.470104223806912,0.0851691125318846,0.144211352927978,0.441646843549863
0.05,0.45,0.0851691125318846,0.118464620038425,0.881535379961575,0.914830887468115,0.470104223806912,0.0851691125318846,0.144211352927978,0.441646843549863
0.05,0.5,0.0851691125318846,0.118464620038425,0.881535379961575,0.914830887468115,0.470104223806912,0.0851691125318846,0.144211352927978,0.441646843549863
