nfeature,imputation,independent,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
3500,KNN,FALSE,0,0,1,1,0,0,0,0.447630375114364
1900,None,FALSE,0,0.000163512242979193,0.999836487757021,1,0,0,0,0.447557182067704
1800,None,TRUE,0.00155696160598933,0.0022891714017087,0.997710828598291,0.998443038394011,0.456310679611651,0.00155696160598933,0.00310333443380654,0.447465690759378
700,ALRA,FALSE,0,0,1,1,0,0,0,0.447630375114364
4600,None,TRUE,0,0,1,1,0,0,0,0.447630375114364
4700,KNN,TRUE,0,0,1,1,0,0,0,0.447630375114364
4100,None,TRUE,0,0,1,1,0,0,0,0.447630375114364
1800,ALRA,TRUE,0.000132507370722496,0.000449658668192781,0.999550341331807,0.999867492629278,0.266666666666667,0.000132507370722496,0.000264883120323157,0.447502287282708
2900,None,TRUE,0,0,1,1,0,0,0,0.447630375114364
3000,ALRA,TRUE,0,0,1,1,0,0,0,0.447630375114364
3100,KNN,TRUE,0,0,1,1,0,0,0,0.447630375114364
900,ALRA,FALSE,0,0,1,1,0,0,0,0.447630375114364
3100,KNN,TRUE,0,0,1,1,0,0,0,0.447630375114364
3200,KNN,TRUE,0,0,1,1,0,0,0,0.447630375114364
1300,ALRA,TRUE,0.00139132739258621,0.00102195151861996,0.99897804848138,0.998608672607414,0.626865671641791,0.00139132739258621,0.002776492364646,0.447941445562672
3300,KNN,FALSE,0,0,1,1,0,0,0,0.447630375114364
3900,KNN,TRUE,0,0,1,1,0,0,0,0.447630375114364
1200,ALRA,TRUE,0.00056315632557061,0.200179863467277,0.799820136532723,0.999436843674429,0.00345950345950346,0.00056315632557061,0.000968633372268596,0.358334858188472
3000,ALRA,TRUE,0,0,1,1,0,0,0,0.447630375114364
1100,None,FALSE,0.000298141584125617,0.0293504476147652,0.970649552385235,0.999701858415874,0.0123796423658872,0.000298141584125617,0.00058226046451446,0.434656907593779
4600,KNN,TRUE,0,0,1,1,0,0,0,0.447630375114364
1300,KNN,TRUE,0.00129194686454434,0.000694927032661571,0.999305072967338,0.998708053135456,0.696428571428571,0.00129194686454434,0.00257910921535562,0.448032936870997
2300,None,FALSE,0,0.00322936679883906,0.996770633201161,1,0,0,0,0.446184812442818
4000,KNN,TRUE,0,0,1,1,0,0,0,0.447630375114364
1800,None,FALSE,0.00149070792062809,0.00380165964926624,0.996198340350734,0.998509292079372,0.326086956521739,0.00149070792062809,0.00296784830997527,0.446752058554437
2100,None,TRUE,0,0.00347463516330785,0.996525364836692,1,0,0,0,0.446075022872827
4700,KNN,FALSE,0,0,1,1,0,0,0,0.447630375114364
4300,ALRA,FALSE,0,0,1,1,0,0,0,0.447630375114364
1600,ALRA,FALSE,3.31268426806241e-05,0.000122634182234395,0.999877365817766,0.999966873157319,0.25,3.31268426806241e-05,6.62449074227419e-05,0.447593778591034
1900,None,FALSE,0,0.000163512242979193,0.999836487757021,1,0,0,0,0.447557182067704
3600,KNN,FALSE,0,0,1,1,0,0,0,0.447630375114364
4600,None,FALSE,0,0,1,1,0,0,0,0.447630375114364
4900,KNN,FALSE,0,0,1,1,0,0,0,0.447630375114364
1100,None,TRUE,0.000298141584125617,0.0250991292973061,0.974900870702694,0.999701858415874,0.014446227929374,0.000298141584125617,0.000584225900681597,0.436559926806953
1300,ALRA,TRUE,0.00119256633650247,0.00110370764010955,0.99889629235989,0.998807433663498,0.571428571428571,0.00119256633650247,0.0023801652892562,0.44779505946935
4500,ALRA,TRUE,0,0,1,1,0,0,0,0.447630375114364
1400,KNN,FALSE,0.000198761056083745,0.00110370764010955,0.99889629235989,0.999801238943916,0.181818181818182,0.000198761056083745,0.000397088021178028,0.447246111619396
2700,ALRA,TRUE,0,0,1,1,0,0,0,0.447630375114364
3100,None,FALSE,0,4.08780607447983e-05,0.999959121939255,1,0,0,0,0.447612076852699
1100,KNN,FALSE,0.000331268426806241,0.0538772840616441,0.946122715938356,0.999668731573194,0.00753012048192771,0.000331268426806241,0.000634618435665556,0.423696248856359
3100,KNN,TRUE,0,0,1,1,0,0,0,0.447630375114364
3600,ALRA,FALSE,0,0,1,1,0,0,0,0.447630375114364
4200,KNN,TRUE,0,0,1,1,0,0,0,0.447630375114364
2900,None,TRUE,0,0,1,1,0,0,0,0.447630375114364
3800,ALRA,TRUE,0,0,1,1,0,0,0,0.447630375114364
3300,ALRA,TRUE,0,0,1,1,0,0,0,0.447630375114364
900,ALRA,FALSE,0,0,1,1,0,0,0,0.447630375114364
1200,KNN,FALSE,0.000695663696293106,0.0683072395045579,0.931692760495442,0.999304336303707,0.0124113475177305,0.000695663696293106,0.00131748172778318,0.41743824336688
1600,KNN,FALSE,3.31268426806241e-05,8.17561214895965e-05,0.99991824387851,0.999966873157319,0.333333333333333,3.31268426806241e-05,6.62471016893011e-05,0.447612076852699
1700,ALRA,TRUE,0.000662536853612482,0.000817561214895965,0.999182438785104,0.999337463146387,0.5,0.000662536853612482,0.00132332021040791,0.447630375114364
2000,None,TRUE,0,0.00282058619139108,0.997179413808609,1,0,0,0,0.446367795059469
