alpha,cutoff,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
0.5,0.05,0.0300129194686454,0.033233863385521,0.966766136614479,0.969987080531354,0.527050610820244,0.0300129194686454,0.0567918259888422,0.449332113449222
0.25,0.1,0.0544274025242654,0.052691820300045,0.947308179699955,0.945572597475735,0.560368349249659,0.0544274025242654,0.0992179715571122,0.454107959743824
0.15,0.15,0.0798025640176235,0.076605485835752,0.923394514164248,0.920197435982377,0.562456222274107,0.0798025640176235,0.139773716275022,0.457419945105215
0.1,0.2,0.0798025640176235,0.076605485835752,0.923394514164248,0.920197435982377,0.562456222274107,0.0798025640176235,0.139773716275022,0.457419945105215
0.05,0.25,0.0798025640176235,0.076605485835752,0.923394514164248,0.920197435982377,0.562456222274107,0.0798025640176235,0.139773716275022,0.457419945105215
0.05,0.3,0.0798025640176235,0.076605485835752,0.923394514164248,0.920197435982377,0.562456222274107,0.0798025640176235,0.139773716275022,0.457419945105215
0.05,0.35,0.0798025640176235,0.076605485835752,0.923394514164248,0.920197435982377,0.562456222274107,0.0798025640176235,0.139773716275022,0.457419945105215
0.05,0.4,0.0798025640176235,0.076605485835752,0.923394514164248,0.920197435982377,0.562456222274107,0.0798025640176235,0.139773716275022,0.457419945105215
0.05,0.45,0.0798025640176235,0.076605485835752,0.923394514164248,0.920197435982377,0.562456222274107,0.0798025640176235,0.139773716275022,0.457419945105215
0.05,0.5,0.220194123298108,0.260188856640641,0.739811143359359,0.779805876701892,0.510836151245005,0.220194123298108,0.307738605060302,0.452790484903934
