tred,repeat_times,alpha_samples,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
1.5,15,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
1.5,12,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
5,10,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
1,10,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
3,11,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
2.5,19,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
2,20,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
3,5,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
4.5,10,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
5,6,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
2.5,5,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
1.5,6,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
4.5,8,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
4.5,17,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
4.5,9,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
1.5,10,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
4,19,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
5,7,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
3.5,13,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
5,8,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
4.5,10,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
1.5,13,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
2,20,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
