"",scissor_markers,scAB_markers,scPAS_markers
1,WIF1,RAB13,USP49
2,PEBP4,ACTN1,MYLPF
3,CACNA2D2,ALDH2,GSN
4,LAMP3,S100A13,RAB31
5,SFTPD,LGALS3BP,GRN
6,PLA2G1B,CD9,SPINT2
7,ABCA3,CD151,FCGRT
8,SFTPA1,TCEAL4,ALDH2
9,SFTA3,PDLIM1,PRDX3
10,ALPL,TAX1BP3,CD9
11,SFTPA2,GSN,CTSZ
12,LRRK2,MGST2,CST3
13,ADGRF5,SERPINA1,COMT
14,ANK3,GRN,SERPINA1
15,SLC34A2,RAB31,BRI3
16,NKX2-1,BLVRA,TMEM14C
17,SELENBP1,SMCO4,CTSB
18,IRX3,SMIM30,CEBPD
19,C4BPA,BLVRB,NPC2
20,PIGR,FCGRT,CD81
