meta_column,n_samples,n_groups,AS_stat,T_AV_stat,p_value,test_name,n_ties,sig,warning,null_dist1,null_dist2,method,n_sim,message,significant,sig_label
DEGAS,,,,,,,,,,,,,,分组数不足,,ns
LP_SGL,300,3,0.458,-1.4434,0.99905,Anderson-Darling,0,1.06814,0,,,asymptotic,1,OK,FALSE,ns
PIPET,300,3,0.421,-1.4785,0.99961,Anderson-Darling,0,1.06814,0,,,asymptotic,1,OK,FALSE,ns
scAB,200,2,0.288,-0.94349,0.95066,Anderson-Darling,0,0.75419,0,,,asymptotic,1,OK,FALSE,ns
scPAS,200,2,0.155,-1.1199,0.99878,Anderson-Darling,0,0.75419,0,,,asymptotic,1,OK,FALSE,ns
scissor,300,3,0.263,-1.6262,1,Anderson-Darling,0,1.06814,0,,,asymptotic,1,OK,FALSE,ns
