score_name,group_method,n_samples,n_groups,AS_stat,T_AV_stat,p_value,status,test_name,n_ties,sig,warning,method,n_sim
ov_Sample_8_ssgsea_score,scissor,50865,3,9.39,6.8525,0.00024897,Success,Anderson-Darling,0,1.07908,FALSE,asymptotic,1
ov_Sample_9_ssgsea_score,scissor,50865,3,14.2,11.31,7.9568e-07,Success,Anderson-Darling,0,1.07908,FALSE,asymptotic,1
ov_Sample_10_ssgsea_score,scissor,50865,3,40.9,36.067,2.7551e-22,Success,Anderson-Darling,0,1.07908,FALSE,asymptotic,1
ov_Sample_1_ssgsea_score,DEGAS,50865,2,30.2,38.414,8.5792e-17,Success,Anderson-Darling,0,0.7614,FALSE,asymptotic,1
ov_Sample_2_ssgsea_score,DEGAS,50865,2,64.3,83.19,1.8828e-35,Success,Anderson-Darling,1,0.7614,FALSE,asymptotic,1
ov_Sample_3_ssgsea_score,DEGAS,50865,2,28.6,36.275,6.6777e-16,Success,Anderson-Darling,0,0.7614,FALSE,asymptotic,1
ov_Sample_4_ssgsea_score,DEGAS,50865,2,39.2,50.107,1.1506e-21,Success,Anderson-Darling,0,0.7614,FALSE,asymptotic,1
ov_Sample_5_ssgsea_score,DEGAS,50865,2,33,41.976,2.8136e-18,Success,Anderson-Darling,0,0.7614,FALSE,asymptotic,1
ov_Sample_6_ssgsea_score,DEGAS,50865,2,56.6,73.083,3.0645e-31,Success,Anderson-Darling,0,0.7614,FALSE,asymptotic,1
ov_Sample_7_ssgsea_score,DEGAS,50865,2,18.9,23.494,1.4144e-10,Success,Anderson-Darling,0,0.7614,FALSE,asymptotic,1
ov_Sample_8_ssgsea_score,DEGAS,50865,2,22.9,28.797,8.7242e-13,Success,Anderson-Darling,0,0.7614,FALSE,asymptotic,1
ov_Sample_9_ssgsea_score,DEGAS,50865,2,12.6,15.227,3.9419e-07,Success,Anderson-Darling,0,0.7614,FALSE,asymptotic,1
ov_Sample_10_ssgsea_score,DEGAS,50865,2,31.4,39.924,2.0154e-17,Success,Anderson-Darling,0,0.7614,FALSE,asymptotic,1
ov_Sample_1_ssgsea_score,LP_SGL,50865,3,99.8,90.805,1.8061e-56,Success,Anderson-Darling,0,1.07674,FALSE,asymptotic,1
ov_Sample_2_ssgsea_score,LP_SGL,50865,3,111,101.24,5.5069e-63,Success,Anderson-Darling,1,1.07674,FALSE,asymptotic,1
ov_Sample_3_ssgsea_score,LP_SGL,50865,3,102,92.599,1.3684e-57,Success,Anderson-Darling,0,1.07674,FALSE,asymptotic,1
ov_Sample_4_ssgsea_score,LP_SGL,50865,3,83.3,75.468,6.8326e-47,Success,Anderson-Darling,0,1.07674,FALSE,asymptotic,1
ov_Sample_5_ssgsea_score,LP_SGL,50865,3,17.8,14.683,6.2262e-09,Success,Anderson-Darling,0,1.07674,FALSE,asymptotic,1
ov_Sample_6_ssgsea_score,LP_SGL,50865,3,110,100.68,1.2275e-62,Success,Anderson-Darling,0,1.07674,FALSE,asymptotic,1
ov_Sample_7_ssgsea_score,LP_SGL,50865,3,31.6,27.45,6.6241e-17,Success,Anderson-Darling,0,1.07674,FALSE,asymptotic,1
ov_Sample_8_ssgsea_score,LP_SGL,50865,3,128,116.58,1.4525e-72,Success,Anderson-Darling,0,1.07674,FALSE,asymptotic,1
ov_Sample_9_ssgsea_score,LP_SGL,50865,3,105,95.869,1.2432e-59,Success,Anderson-Darling,0,1.07674,FALSE,asymptotic,1
ov_Sample_10_ssgsea_score,LP_SGL,50865,3,51.4,45.875,2.0648e-28,Success,Anderson-Darling,0,1.07674,FALSE,asymptotic,1
