"",scissor_markers,scAB_markers,scPAS_markers
1,SFTPA1,LGALS3BP,MFSD9
2,SFTPD,RAB13,SH2D1B
3,SFTPA2,CD9,FGFBP2
4,PEBP4,S100A13,NKG7
5,PIGR,ALDH2,PRF1
6,PLA2G1B,CYB5A,KLRD1
7,LRRK2,SERPINA1,KLRF1
8,SFTPC,CD151,GZMB
9,SLC34A2,CD81,SPON2
10,CLDN18,SPINT2,CST7
11,SLPI,BRI3,CD247
12,MUC1,PCBD1,KLRB1
13,C4BPA,ATP1B1,FCGR3A
14,SFTPB,CXCL16,CCL4
15,SFTA2,MGST1,CTSW
16,FGGY,FCGRT,PLAC8
17,LAMP3,COMT,PYHIN1
18,SCGB3A1,PLD3,CD7
19,NAPSA,TXNDC17,GNLY
20,FOLR1,RBM47,GZMA
