meta_column,n_samples,n_groups,AS_stat,T_AV_stat,p_value,test_name,n_ties,sig,warning,null_dist1,null_dist2,method,n_sim,message,significant,sig_label
DEGAS,,,,,,,,,,,,,,分组数不足,,ns
LP_SGL,300,3,0.254,-1.635,1,Anderson-Darling,0,1.06814,0,,,asymptotic,1,OK,FALSE,ns
PIPET,300,3,0.208,-1.6774,1,Anderson-Darling,0,1.06814,0,,,asymptotic,1,OK,FALSE,ns
scAB,200,2,0.213,-1.0436,0.98883,Anderson-Darling,0,0.75419,0,,,asymptotic,1,OK,FALSE,ns
scPAS,200,2,0.142,-1.1373,0.99945,Anderson-Darling,0,0.75419,0,,,asymptotic,1,OK,FALSE,ns
scPP,300,3,0.221,-1.6654,1,Anderson-Darling,0,1.06814,0,,,asymptotic,1,OK,FALSE,ns
scissor,300,3,0.16,-1.7228,1,Anderson-Darling,0,1.06814,0,,,asymptotic,1,OK,FALSE,ns
