meta_column,n_samples,n_groups,AS_stat,T_AV_stat,p_value,test_name,n_ties,sig,warning,method,n_sim,message,null_dist1,null_dist2,significant,sig_label
DEGAS,200,2,1.43,0.56467,0.19419,Anderson-Darling,0,0.75419,FALSE,asymptotic,1,OK,,,FALSE,ns
LP_SGL,300,3,0.634,-1.2789,0.98701,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,,,FALSE,ns
SCIPAC,,,,,,,,,,,,No enough groups,,,,ns
scAB,200,2,2.94,2.5755,0.028807,Anderson-Darling,0,0.75419,FALSE,asymptotic,1,OK,,,TRUE,*
scPAS,300,3,1.84,-0.14623,0.45561,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,,,FALSE,ns
scPP,300,3,2.99,0.93027,0.14846,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,,,FALSE,ns
scissor,300,3,2.05,0.049133,0.37461,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,,,FALSE,ns
