"Species","Tissue","Cell Type","Cancer","Cell Marker","Source","Supported Sources","Details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD24, CD44","Experiment","10","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ALDH1","Experiment","8","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ALDH1, CD24, CD44","Experiment","7","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD44","Experiment","4","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ALDH1, CD44","Experiment","3","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD133, CD44","Experiment","3","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD133","Experiment","3","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ALDH1A1","Experiment","2","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ALDH, CD44","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ALDH","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ALDH1, CD133, CD24, CD44","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ALDH1, CD133","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ALDH1A3, SOX2","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","c-Kit, CD10, CD133, CD24, CD34, CD44, EpCAM, OCT3/4, P63, SOX2","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD133, CD15, CD24, CD44","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD133, EpCAM","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD133, ESA","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD24, CD44, CD49f, EpCAM","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD24, CD44, VEGF","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD24","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD44, Feline sarcoma-related tyrosine kinase","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD44, OCT4","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD44, SOX2, OCT4","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","EpCAM","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ESA, PROCR","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","GD2","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","GLI1, LSD1, SOX2","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","LGR5","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","Nectin-4","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","SOX2","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Ductal Breast Carcinoma","GLI1","Experiment","1","more details"
"Human","Mammary gland","Cancer stem cell","Breast Cancer","CD49f, CD61, ESA","Experiment","1","more details"
