"",scAB_markers,scPP_markers
1,MIEN1,KRT19
2,MIF,KRT18
3,ERBB2,MIEN1
4,COX6C,KRT8
5,GAPDH,MAL2
6,TXN,CD24
7,JPT1,ERBB2
8,ANAPC11,VIM
9,CFL1,GGCT
10,CISD3,SPDEF
11,UQCRQ,CISD3
12,HSPE1,CENPX
13,SLC25A5,TSTD1
14,SYNGR2,EPCAM
15,DBI,DCXR
16,CRIP1,TPD52
17,UQCRH,SPINT2
18,KRT19,SLC9A3R1
19,RPS17,AZGP1
20,HSPA8,NME1
