"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
PSMB5,7.98232035998779e-35,-0.83692996479766,0.235,0.657,9.25230752926185e-31
IFNGR1,8.76873760519613e-35,-0.802895104688886,0.254,0.696,1.01638437581828e-30
CXCL8,9.57414781365383e-35,-1.42509534532817,0.159,0.503,1.10973947308062e-30
CHCHD1,1.02263811059033e-34,-0.805075800665493,0.22,0.634,1.18533983398525e-30
SAMD9L,1.30255870260718e-34,-0.957287312114281,0.148,0.519,1.50979579219198e-30
RAB5C,1.36670505417794e-34,-0.802598732067252,0.343,0.793,1.58414782829764e-30
PSENEN,1.55342098547568e-34,-0.799394582143024,0.218,0.622,1.80057026426486e-30
GPR137B,1.56454435090688e-34,-0.925610943488162,0.146,0.52,1.81346335713616e-30
RER1,2.06432421283594e-34,-0.716364686705931,0.318,0.774,2.39275819509814e-30
PEBP1,2.1412101461117e-34,-0.752316675114755,0.462,0.883,2.48187668035807e-30
BLOC1S2,2.35646410288601e-34,-0.763463424906674,0.261,0.683,2.73137754165518e-30
MRPS23,2.99013245598573e-34,-1.09705987694838,0.155,0.508,3.46586252973306e-30
CHMP3,3.45582804240181e-34,-0.695996306807225,0.206,0.6,4.00565028394793e-30
CASP1,4.11913109513781e-34,-0.845618095694767,0.273,0.708,4.77448485237424e-30
JOSD2,4.32404374669266e-34,-0.870317532426516,0.193,0.578,5.01199910679147e-30
TMEM160,4.67937582849893e-34,-0.798999165993865,0.237,0.66,5.42386452281311e-30
STX11,5.89922117725426e-34,-0.831177355173626,0.229,0.638,6.83778726655542e-30
FDX1,5.97461395149478e-34,-0.822469795026649,0.254,0.676,6.92517503117761e-30
ADIPOR1,8.46711344095657e-34,-1.01761845220828,0.15,0.515,9.81423118941276e-30
TTC1,8.82671736227737e-34,-0.767550463574821,0.206,0.609,1.02310480946157e-29
RAB7A,9.43277931890666e-34,-0.816127468507909,0.417,0.874,1.09335345085447e-29
ATP6AP2,9.92516737121632e-34,-0.783091137196857,0.371,0.803,1.15042614999768e-29
ESD,9.97329564809519e-34,-0.822017228781088,0.311,0.755,1.15600469857071e-29
ITPA,1.25060521838085e-33,-0.78856291467931,0.182,0.569,1.44957650862524e-29
RPL26L1,1.44976691607676e-33,-0.996289601523838,0.176,0.546,1.68042483242457e-29
NCF1,1.47439562732498e-33,-0.972626206229446,0.15,0.517,1.70897197163238e-29
MCTS1,1.6169249849037e-33,-0.811037428476247,0.235,0.646,1.87417775000188e-29
HSD17B11,1.67983444851652e-33,-0.867739089878037,0.333,0.761,1.9470961092755e-29
YIF1A,1.80710222635088e-33,-0.99095315701497,0.174,0.543,2.0946121905633e-29
RNASET2,2.00943156083736e-33,-0.735961701427341,0.413,0.889,2.32913212216659e-29
GNG5,2.24920315275487e-33,-0.713738317433017,0.538,0.941,2.60705137435817e-29
SUMO3,2.38188181535167e-33,-0.774098061611621,0.301,0.749,2.76083921217412e-29
MTPN,2.51592904917504e-33,-0.78245041075279,0.35,0.796,2.91621336089879e-29
