meta_column,n_samples,n_groups,AS_stat,T_AV_stat,p_value,test_name,n_ties,sig,warning,method,n_sim,message,significant,sig_label
DEGAS,200,2,0.178,-1.0903,0.99651,Anderson-Darling,0,0.75419,FALSE,asymptotic,1,OK,FALSE,ns
LP_SGL,300,3,0.324,-1.5694,0.99998,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,FALSE,ns
scAB,200,2,0.0966,-1.1978,0.99999,Anderson-Darling,0,0.75419,FALSE,asymptotic,1,OK,FALSE,ns
scPAS,300,3,0.291,-1.5997,0.99999,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,FALSE,ns
scPP,300,3,0.253,-1.6358,1,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,FALSE,ns
scissor,300,3,0.388,-1.5093,0.99984,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,FALSE,ns
