meta_column,n_samples,n_groups,AS_stat,T_AV_stat,p_value,test_name,n_ties,sig,warning,method,n_sim,message,significant,sig_label
LP_SGL,300,3,0.459,-1.4428,0.99903,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,FALSE,ns
scAB,200,2,0.0972,-1.197,0.99999,Anderson-Darling,0,0.75419,FALSE,asymptotic,1,OK,FALSE,ns
scPAS,300,3,0.365,-1.5309,0.99992,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,FALSE,ns
scPP,300,3,0.313,-1.5798,0.99999,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,FALSE,ns
scissor,300,3,0.18,-1.7037,1,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,FALSE,ns
