n_pc,resolution,ela_net_alpha,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
30,2.3,0.9,0.577403585008148,0.233639324844537,0.766360675155464,0.422596414991852,0.130205781479667,0.577403585008148,0.212493753123438,0.755568654216045
100,3.1,0.4,0.523628462791961,0.418550324087783,0.581449675912217,0.476371537208039,0.07044208987943,0.523628462791961,0.124178796856885,0.578147297884222
80,2.6,0.8,0.521998913633895,0.210377389530484,0.789622610469516,0.478001086366105,0.130659415363698,0.521998913633895,0.209003914745542,0.774337655891295
100,0.7,0.2,0.523628462791961,0.453492580528411,0.546507419471589,0.476371537208039,0.0653692276395199,0.523628462791961,0.11622859898722,0.545200719736924
80,1.5,0.4,0.523085279739272,0.244431283519231,0.755568716480769,0.476914720260728,0.114752144899905,0.523085279739272,0.188214599824099,0.742290748898678
20,3.7,0.5,0.978815860945138,0.227815615437765,0.772184384562235,0.0211841390548615,0.206509282603713,0.978815860945138,0.34106179615785,0.783985853446671
60,2.3,0.5,0.51982618142314,0.375481196328102,0.624518803671898,0.48017381857686,0.0773708464710163,0.51982618142314,0.13469387755102,0.61853943041509
60,1.2,0.8,0.59369907658881,0.382291975125851,0.617708024874149,0.40630092341119,0.085981749528005,0.59369907658881,0.150209578781007,0.616336787243283
70,2.6,0.3,0.523628462791961,0.412331786924621,0.587668213075379,0.476371537208039,0.0714285714285714,0.523628462791961,0.12570906957032,0.584010671961283
100,2.4,0.7,0.598587724063009,0.376040535649656,0.623959464350344,0.401412275936991,0.0879419040778868,0.598587724063009,0.153353743389925,0.622510392752994
10,3.5,0.8,0.982074959261271,0.235843779817721,0.764156220182279,0.017925040738729,0.201426024955437,0.982074959261271,0.334288619765184,0.776602345349631
80,0.5,0.5,0.523628462791961,0.416181357549436,0.583818642450564,0.476371537208039,0.0708146624550062,0.523628462791961,0.12475734437686,0.580380964199293
70,0.4,0.4,0.52417164584465,0.400256638041654,0.599743361958346,0.47582835415535,0.0734958111195735,0.52417164584465,0.128915904081224,0.595427188682757
60,1.1,0.9,0.596958174904943,0.325009048136084,0.674990951863916,0.403041825095057,0.100118429443382,0.596958174904943,0.171477609611484,0.670534218527021
10,0.3,0.8,0.998913633894622,0.312933899253118,0.687066100746883,0.00108636610537751,0.162026431718062,0.998913633894622,0.278826472594951,0.704876838121239
40,1,0.8,0.596414991852254,0.401474023623861,0.598525976376139,0.403585008147746,0.0825563909774436,0.596414991852254,0.145036655438875,0.598405410436186
80,1.5,0.4,0.523085279739272,0.244431283519231,0.755568716480769,0.476914720260728,0.114752144899905,0.523085279739272,0.188214599824099,0.742290748898678
