alpha,cutoff,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
0.5,0.05,0.191200434546442,0.00440890994636923,0.995591090053631,0.808799565453558,0.724279835390947,0.191200434546442,0.302535453373442,0.949649438481107
0.25,0.1,0.191200434546442,0.00440890994636923,0.995591090053631,0.808799565453558,0.724279835390947,0.191200434546442,0.302535453373442,0.949649438481107
0.15,0.15,0.523628462791961,0.0182278814200638,0.981772118579936,0.476371537208039,0.635046113306983,0.523628462791961,0.573980351295028,0.955605881987963
0.1,0.2,0.523628462791961,0.0182278814200638,0.981772118579936,0.476371537208039,0.635046113306983,0.523628462791961,0.573980351295028,0.955605881987963
0.05,0.25,0.523628462791961,0.0182278814200638,0.981772118579936,0.476371537208039,0.635046113306983,0.523628462791961,0.573980351295028,0.955605881987963
0.05,0.3,0.523628462791961,0.0182278814200638,0.981772118579936,0.476371537208039,0.635046113306983,0.523628462791961,0.573980351295028,0.955605881987963
0.05,0.35,0.523628462791961,0.0182278814200638,0.981772118579936,0.476371537208039,0.635046113306983,0.523628462791961,0.573980351295028,0.955605881987963
0.05,0.4,0.523628462791961,0.0182278814200638,0.981772118579936,0.476371537208039,0.635046113306983,0.523628462791961,0.573980351295028,0.955605881987963
0.05,0.45,0.523628462791961,0.0182278814200638,0.981772118579936,0.476371537208039,0.635046113306983,0.523628462791961,0.573980351295028,0.955605881987963
0.05,0.5,0.523628462791961,0.0182278814200638,0.981772118579936,0.476371537208039,0.635046113306983,0.523628462791961,0.573980351295028,0.955605881987963
