prob,Log2FC_cutoff,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
0.13,0.436,0.365562194459533,0.0545191326950285,0.945480867304972,0.634437805540467,0.288841201716738,0.365562194459533,0.322704387437065,0.912359620276727
0.5,0.237,0,0,1,1,0,0,0,0.942886393249364
0.15,0.792,0.269961977186312,0.0479386700885072,0.952061329911493,0.730038022813688,0.254350051177073,0.269961977186312,0.261923583662714,0.913104175715083
0.25,0.259,0.74253123302553,0.155956963774553,0.844043036225447,0.25746876697447,0.223841493368266,0.74253123302553,0.34398590840463,0.838245331016939
0.27,0.986,0.342205323193916,0.103444872174514,0.896555127825486,0.657794676806084,0.166931637519873,0.342205323193916,0.22439893143366,0.864894211081467
0.23,0.757,0.465507876154264,0.0967986049419274,0.903201395058073,0.534492123845736,0.225585680442222,0.465507876154264,0.303900709219858,0.878203139542098
0.28,0.98,0.355784899511135,0.109531800085546,0.890468199914454,0.644215100488865,0.164407630522088,0.355784899511135,0.224892703862661,0.859930508159087
0.1,0.219,0.455730581205866,0.0512618037048005,0.948738196295199,0.544269418794134,0.350020859407593,0.455730581205866,0.395941481831052,0.920580753241918
0.31,0.949,0.399239543726236,0.132398907643207,0.867601092356793,0.600760456273764,0.154444210968691,0.399239543726236,0.222727272727273,0.840851275051188
0.23,0.149,0.780554046713743,0.144704372717402,0.855295627282598,0.219445953286257,0.246272493573265,0.780554046713743,0.37441375716519,0.851026866042067
0.01,0.6,0.0597501357957632,0.00250057579047807,0.997499424209522,0.940249864204237,0.591397849462366,0.0597501357957632,0.10853478046374,0.94394118012037
0.21,0.946,0.299837045084193,0.0696870990030599,0.93031290099694,0.700162954915807,0.206741573033708,0.299837045084193,0.24473509199734,0.894304150896569
0.1,0.688,0.277566539923954,0.0340209916757148,0.965979008324285,0.722433460076046,0.330744336569579,0.277566539923954,0.301831069108092,0.926661289321834
0.37,0.506,0.777838131450299,0.232849669331754,0.767150330668246,0.222161868549701,0.168292396286285,0.777838131450299,0.276714975845411,0.767760749519141
0.38,0.373,0.834872351982618,0.258085743427763,0.741914256572237,0.165127648017382,0.163841807909605,0.834872351982618,0.27392621636072,0.747223428677794
0.29,0.336,0.713199348180337,0.179515019905899,0.820484980094101,0.286800651819663,0.193972521790516,0.713199348180337,0.304994192799071,0.814357510702985
0.09,0.048,0.414448669201521,0.0464909683150726,0.953509031684927,0.585551330798479,0.350643382352941,0.414448669201521,0.379885486681603,0.922721350127195
0.16,0.619,0.403585008147746,0.061658934623104,0.938341065376896,0.596414991852254,0.283912877340466,0.403585008147746,0.333333333333333,0.90779921821679
0.31,0.961,0.392178164041282,0.130984108182805,0.869015891817195,0.607821835958718,0.153519030406124,0.392178164041282,0.220660146699267,0.841781969349134
0.39,0.655,0.79902227050516,0.23406705491396,0.76593294508604,0.20097772949484,0.171345369831101,0.79902227050516,0.282179167465951,0.767822795805671
0.38,0.51,0.801738185768604,0.241042345276873,0.758957654723127,0.198261814231396,0.167689161554192,0.801738185768604,0.277365404491215,0.761401005149842
0.37,0.15,0.913633894622488,0.271608594084164,0.728391405915836,0.0863661053775122,0.16926637818255,0.913633894622488,0.28561725250467,0.738971272569337
0.29,0.87,0.439435089625204,0.120883098081795,0.879116901918205,0.560564910374796,0.180459513718492,0.439435089625204,0.255850727387729,0.854005087795495
0,0.514,0,0,1,1,0,0,0,0.942886393249364
0.11,0.009,0.495382944052146,0.0579080709373869,0.942091929062613,0.504617055947854,0.341317365269461,0.495382944052146,0.404165743407933,0.91657876776075
0.19,0.019,0.697447039652363,0.112789129075774,0.887210870924226,0.302552960347637,0.272495755517827,0.697447039652363,0.391881580955288,0.876372774089471
0.07,0.145,0.325909831613254,0.0363570559010298,0.96364294409897,0.674090168386746,0.351906158357771,0.325909831613254,0.338409475465313,0.927219705900602
0.11,0.305,0.406844106463878,0.0526437008521699,0.94735629914783,0.593155893536122,0.318859088974032,0.406844106463878,0.357517899761337,0.916485698330955
0.02,0.826,0.0852797392721347,0.00648175566742342,0.993518244332577,0.914720260727865,0.443502824858757,0.0852797392721347,0.143052391799544,0.941645467518769
0.08,0.502,0.264530146659424,0.0291843516599217,0.970815648340078,0.735469853340576,0.354439592430859,0.264530146659424,0.302954898911353,0.930477135943414
0.13,0.804,0.280282455187398,0.0392524594478992,0.960747540552101,0.719717544812602,0.301930953774137,0.280282455187398,0.290704225352113,0.921883725259043
0.12,0.061,0.534492123845736,0.0642253150396473,0.935774684960353,0.465507876154264,0.335149863760218,0.534492123845736,0.411974042285954,0.912855990568965
0.19,0.928,0.28843020097773,0.0594544796499194,0.940545520350081,0.711569799022271,0.227117194183062,0.28843020097773,0.254127781765973,0.903300862443383
0.41,0.808,0.702878870179251,0.231007139801928,0.768992860198072,0.29712112982075,0.155622369212267,0.702878870179251,0.254824734147302,0.765216851771422
0.15,0.079,0.613796849538294,0.0833086565985589,0.916691343401441,0.386203150461706,0.308574549426543,0.613796849538294,0.410685080864983,0.899391946392009
0.15,0.601,0.359043997827268,0.0571184154246044,0.942881584575396,0.640956002172732,0.275761368377138,0.359043997827268,0.311939594148183,0.909536514239623
0.31,0.715,0.621944595328626,0.154114434244727,0.845885565755273,0.378055404671374,0.196431634928804,0.621944595328626,0.298565840938722,0.833095489234969
0.33,0.514,0.741444866920152,0.193366893692627,0.806633106307374,0.258555133079848,0.188483844241922,0.741444866920152,0.300561488494991,0.802909970838245
0.4,0.72,0.747419880499728,0.231237455993156,0.768762544006844,0.252580119500272,0.163731556401713,0.747419880499728,0.268618838457784,0.767543587516287
0.31,0.75,0.581749049429658,0.155825354522423,0.844174645477577,0.418250950570342,0.184432581367315,0.581749049429658,0.280073221757322,0.829186573183595
0.24,0.096,0.795219989136339,0.152929950975554,0.847070049024446,0.204780010863661,0.239528795811518,0.795219989136339,0.368162957374576,0.844108705094
0.35,0.398,0.766974470396524,0.224887309577863,0.775112690422137,0.233025529603476,0.171213774705954,0.766974470396524,0.279936558287074,0.774647887323944
0.39,0.294,0.906029331884845,0.282268943506729,0.717731056493272,0.0939706681151548,0.162779350053674,0.906029331884845,0.275976174718729,0.728485450145809
0.1,0.617,0.291689299293862,0.03484354950153,0.96515645049847,0.708310700706138,0.336466165413534,0.291689299293862,0.312481815536805,0.926692312465099
0.37,0.974,0.46713742531233,0.179844043036225,0.820155956963775,0.53286257468767,0.135946885867847,0.46713742531233,0.21060364883066,0.799993795371347
0.08,0.618,0.247691472026073,0.028822426216563,0.971177573783437,0.752308527973927,0.342342342342342,0.247691472026073,0.287425149700599,0.929856673078116
0.04,0.521,0.160239000543183,0.0177014444115421,0.982298555588458,0.839760999456817,0.354141656662665,0.160239000543183,0.220643231114435,0.935347769435999
0.14,0.903,0.271048343291689,0.0397788964564209,0.960221103543579,0.728951656708311,0.292154566744731,0.271048343291689,0.281205973513666,0.920859961531302
0.18,0.637,0.464421510048887,0.0726154048629619,0.927384595137038,0.535578489951114,0.279229261920314,0.464421510048887,0.348766061594942,0.900943103555252
0.16,0.864,0.282455187398153,0.0470174053235943,0.952982594676406,0.717544812601847,0.266803488968702,0.282455187398153,0.274406332453826,0.914686356021592
0.2,0.585,0.472569255839218,0.0871253249103412,0.912874675089659,0.527430744160782,0.247299602046617,0.472569255839218,0.324687441686882,0.887727244524415
