"",nfeature,imputation,independent,TPR,FPR,TNR,FNR,F1,Accuracy,Precision,P_pos
1,3500,KNN,FALSE,0.00075690677431563,6.98681820299036e-05,0.99993013181797,0.999243093225684,0.00151209677419355,0.844215079131033,0.666666666666667,0.000176938956060159
2,1900,None,FALSE,0.0398637567806232,0.00358656667753505,0.996413433322465,0.960136243219377,0.075264975586519,0.847341000688096,0.672340425531915,0.00924014548314165
3,1800,None,TRUE,0.00555064967831462,0.00526340304625274,0.994736596953747,0.994449350321685,0.0107356349884104,0.840578000589797,0.162962962962963,0.00530816868180478
4,700,ALRA,FALSE,0.0449098019427274,0.00302762122129582,0.996972378778704,0.955090198057272,0.084630928325211,0.848599233264524,0.732510288065844,0.0095547036272486
5,4600,None,TRUE,0.00189226693578908,0.0107829894266151,0.989217010573385,0.998107733064211,0.00356930398572278,0.835348471444019,0.0313807531380753,0.00939742455519512
6,4700,KNN,TRUE,0,0.000372630304159486,0.999627369695841,1,0,0.843841541334906,0,0.00031455814410695
7,4100,None,TRUE,0.00290147596820992,0.00486748334808328,0.995132516651917,0.99709852403179,0.00563794582669445,0.84049936105377,0.0991379310344828,0.00456109308955077
8,1800,ALRA,TRUE,0.000883057903368235,0.00232893940099679,0.997671060599003,0.999116942096632,0.00174259397560368,0.842327730266391,0.0654205607476636,0.00210360758871523
9,2900,None,TRUE,0.00529834742020941,0.0100610182123061,0.989938981787694,0.994701652579791,0.00999880966551601,0.836488744716406,0.0886075949367089,0.00931878501916839
10,3000,ALRA,TRUE,0.00151381354863126,0.00649774092878103,0.993502259071219,0.998486186451369,0.00292041859333171,0.838906910449228,0.0412371134020619,0.00572102624594515
11,3100,KNN,TRUE,0.00201841806484168,0.00298104243327589,0.997018957566724,0.997981581935158,0.0039648122909181,0.841954192470264,0.111111111111111,0.00283102329696255
12,900,ALRA,FALSE,0.0685000630755645,0.00505379850016303,0.994946201499837,0.931499936924435,0.125014389317371,0.850565221665192,0.714473684210526,0.0149415118450801
13,3100,KNN,TRUE,0.00201841806484168,0.00298104243327589,0.997018957566724,0.997981581935158,0.0039648122909181,0.841954192470264,0.111111111111111,0.00283102329696255
14,3200,KNN,TRUE,0.00126151129052605,0.00204946667287717,0.997950533327123,0.998738488709474,0.00249221183800623,0.842622628526492,0.102040816326531,0.00192666863265507
15,1300,ALRA,TRUE,0.000378453387157815,0.00461130001397364,0.995388699986026,0.999621546612842,0.000738188976377953,0.84032242209771,0.0149253731343284,0.00395163668534356
16,3300,KNN,FALSE,0.0495773937176738,0.00216591364292701,0.997834086357073,0.950422606282326,0.0934268394151908,0.850054064681018,0.808641975308642,0.0095547036272486
17,3900,KNN,TRUE,0,0.000232893940099679,0.9997671060599,1,0,0.843959500638946,0,0.000196598840066844
18,1200,ALRA,TRUE,0.000630755645263025,0.00498393031813312,0.995016069681867,0.999369244354737,0.00122759636631476,0.840047183721616,0.0228310502283105,0.00430551459746388
19,3000,ALRA,TRUE,0.00176611580673647,0.0065908985048209,0.993409101495179,0.998233884193264,0.00340466926070039,0.838867590681215,0.0471380471380471,0.00583898554998526
20,1100,None,FALSE,0.0662293427526176,0.0058689272905119,0.994131072709488,0.933770657247382,0.120634191176471,0.849523247812838,0.675675675675676,0.0152757298731937
21,4600,KNN,TRUE,0,0.000512366668219293,0.999487633331781,1,0,0.843723582030866,0,0.000432517448147056
22,1300,KNN,TRUE,0,0,1,1,0,0.844156099479013,0,0
23,2300,None,FALSE,0.0441528951684118,0.0039824863757045,0.996017513624295,0.955847104831588,0.0828598484848485,0.84767521871621,0.671785028790787,0.0102427995674826
24,4000,KNN,TRUE,0,0.000116446970049839,0.99988355302995,1,0,0.84405780005898,0,9.82994200334218e-05
25,1800,None,FALSE,0.0464236154913587,0.00360985607154502,0.996390143928455,0.953576384508641,0.0871005917159763,0.848343654772437,0.703632887189293,0.0102821193354959
26,2100,None,TRUE,0.00655985871073546,0.00507708789417299,0.994922912105827,0.993440141289265,0.0126875686226668,0.840892558733903,0.192592592592593,0.00530816868180478
27,4700,KNN,FALSE,0,0,1,1,0,0.844156099479013,0,0
28,4300,ALRA,FALSE,0,0,1,1,0,0.844156099479013,0,0
29,1600,ALRA,FALSE,0.0557587990412514,0.000884996972378779,0.999115003027621,0.944241200958749,0.105150469846556,0.852098692617714,0.920833333333333,0.00943674432320849
30,1900,None,FALSE,0.0398637567806232,0.00358656667753505,0.996413433322465,0.960136243219377,0.075264975586519,0.847341000688096,0.672340425531915,0.00924014548314165
31,3600,KNN,FALSE,0.00075690677431563,6.98681820299036e-05,0.99993013181797,0.999243093225684,0.00151209677419355,0.844215079131033,0.666666666666667,0.000176938956060159
32,4600,None,FALSE,0.0123628106471553,0.00151381061064791,0.998486189389352,0.987637189352845,0.0242274412855377,0.844804875651234,0.601226993865031,0.00320456109308955
33,4900,KNN,FALSE,0,0,1,1,0,0.844156099479013,0,0
34,1100,None,TRUE,0.00706446322694588,0.0146956076202897,0.98530439237971,0.992935536773054,0.0130020896215463,0.83285166617517,0.0815138282387191,0.0135063403125922
35,1300,ALRA,TRUE,0.00025230225810521,0.00430853789184406,0.995691462108156,0.999747697741895,0.00049297510475721,0.84055834070579,0.0106951871657754,0.00367639830924998
36,4500,ALRA,TRUE,0,0.0026084121291164,0.997391587870884,1,0,0.841954192470264,0,0.00220190700874865
37,1400,KNN,FALSE,0.0388545477482023,0.000442498486189389,0.999557501513811,0.961145452251798,0.0746304821904531,0.849837805956945,0.941896024464832,0.00642878207018579
38,2700,ALRA,TRUE,0.00340608048442034,0.00694023941497042,0.993059760585029,0.99659391951558,0.00654386815317499,0.838828270913202,0.0830769230769231,0.00638946230217242
39,3100,None,FALSE,0.044405197426517,0.00479761516605338,0.995202384833947,0.955594802573483,0.0829699469652328,0.847026442543989,0.630824372759857,0.0109702152757299
40,1100,KNN,FALSE,0.0531096253311467,0.00149052121663794,0.998509478783362,0.946890374668853,0.100095102234903,0.851174678069399,0.868041237113402,0.00953504374324191
41,3100,KNN,TRUE,0.00201841806484168,0.00298104243327589,0.997018957566724,0.997981581935158,0.0039648122909181,0.841954192470264,0.111111111111111,0.00283102329696255
42,3600,ALRA,FALSE,0,0,1,1,0,0.844156099479013,0,0
43,4200,KNN,TRUE,0,0.000139736364059807,0.99986026363594,1,0,0.844038140174973,0,0.000117959304040106
44,2900,None,TRUE,0.00529834742020941,0.0100610182123061,0.989938981787694,0.994701652579791,0.00999880966551601,0.836488744716406,0.0886075949367089,0.00931878501916839
45,3800,ALRA,TRUE,0,0.00423866970981415,0.995761330290186,1,0,0.840578000589797,0,0.00357809888921655
46,3300,ALRA,TRUE,0.00138766241957866,0.00640458335274116,0.993595416647259,0.998612337580421,0.0026786801412395,0.838965890101249,0.0384615384615385,0.00562272682591173
47,900,ALRA,FALSE,0.0686262142046171,0.00503050910615306,0.994969490893847,0.931373785795383,0.125244618395303,0.850604541433206,0.715789473684211,0.0149415118450801
48,1200,KNN,FALSE,0.0466759177494639,0.00102473333643859,0.998975266663561,0.953324082250536,0.0887183790912361,0.850565221665192,0.893719806763285,0.00813919197876733
49,1600,KNN,FALSE,0.0508389050081998,0.000582234850249197,0.999417765149751,0.9491610949918,0.0964691801316577,0.85158753563354,0.941588785046729,0.00841443035486091
50,1700,ALRA,TRUE,0,0.00176999394475756,0.998230006055243,1,0,0.842661948294505,0,0.00149415118450801
51,2000,None,TRUE,0.00580295193641983,0.00500721971214309,0.994992780287857,0.99419704806358,0.0112359550561798,0.840833579081883,0.176245210727969,0.00513122972574462
