gene,beta,se,pval,HR,HR_low,HR_up,FDR,sig,direction,abs_logHR
GADD45GIP1,,0,0,,,,0,TRUE,background,
PHKG2,182.205397965374,45.5113525083407,7.3420787058449e-14,1.35144666019889e+79,2.45897188402876e+40,7.42752728172872e+117,4.48233904991831e-10,TRUE,risk,182.205397965374
IGSF3,78.1202507159985,19.5741295817357,1.21840111445255e-11,8.45656148543143e+33,184229145888941000,3.88176538580886e+50,4.95889253582188e-08,TRUE,risk,78.1202507159985
NKX2-5,2.32813773045714,0.410922448950972,3.86770750862258e-11,10.2588190467015,4.58472318808639,22.9552284653621,1.18061771700704e-07,TRUE,risk,2.32813773045714
UCHL5,73.9163790957603,19.9894740973357,6.023846374808e-11,1.26321002478432e+32,1219247018283450,1.30875822764952e+49,1.47102328472811e-07,TRUE,risk,73.9163790957603
SLCO4A1-AS1,1.13398821284523,0.21056243738512,7.97370952580605e-11,3.108027289416,2.05707657304363,4.69590376864871,1.62264988850153e-07,TRUE,risk,1.13398821284523
LGALSL,0.874649087644276,0.14630443109523,1.0443481482335e-10,2.39803364666746,1.8001903380947,3.19442075032775,1.82164155570444e-07,TRUE,risk,0.874649087644276
FN3K,49.1015176016925,12.9638815028809,2.57844015336928e-10,2.11114541058525e+21,19473294597.1761,2.28874211417798e+32,3.93534428407986e-07,TRUE,risk,49.1015176016925
SLITRK5,0.829202432282741,0.166072917193286,4.56433326934182e-09,2.29149039248407,1.65483203554818,3.17308832923782,5.6618732197005e-06,TRUE,risk,0.829202432282741
UGCG,-1.0039061962116,0.177447544757015,4.63707880401351e-09,0.366445234861276,0.258799050832046,0.51886631624349,5.6618732197005e-06,TRUE,protective,1.0039061962116
EXOC6,-0.845191320923241,0.145653826099397,6.52697934773287e-09,0.429475182761573,0.322815986261511,0.571374840336024,7.24494707598348e-06,TRUE,protective,0.845191320923241
RTN4R,1.67664329399891,0.330532944546148,7.64155728256908e-09,5.34757557153495,2.79770299811778,10.2214439890569,7.77528453501403e-06,TRUE,risk,1.67664329399891
PRSS33,0.347432177198428,0.0763922256576384,1.31657086751981e-08,1.41542830904583,1.21860092135602,1.64404708952539,1.23656386864745e-05,TRUE,risk,0.347432177198428
RSBN1,-0.799226902706676,0.150358754089033,2.38222513692499e-08,0.449676473435141,0.334897735568177,0.60379306661481,2.0776406372753e-05,TRUE,protective,0.799226902706676
ZMYND11,1.11521509849492,0.227362697161077,5.21752583471108e-08,3.05022420726097,1.95342494122505,4.7628488396007,3.9319287374384e-05,TRUE,risk,1.11521509849492
NMU,0.70024549869486,0.138938091266654,5.28216204936168e-08,2.01424714182094,1.5340738437315,2.64471724416151,3.9319287374384e-05,TRUE,risk,0.70024549869486
DGCR2,4.07495184377013,0.828151592422055,5.47442985556533e-08,58.847646639313,11.6089310806712,298.308732382035,3.9319287374384e-05,TRUE,risk,4.07495184377013
SHOC2,-0.870300787223321,0.16172457640379,6.14160611891899e-08,0.418825552924427,0.305049580376414,0.575037158110493,4.16605615066671e-05,TRUE,protective,0.870300787223321
BNIP3L,-0.998387307493718,0.182476783058396,7.26170710506336e-08,0.368473196232918,0.257678704303446,0.526906159005733,4.66660230278019e-05,TRUE,protective,0.998387307493718
