meta_column,n_samples,n_groups,AS_stat,T_AV_stat,p_value,test_name,n_ties,sig,warning,method,n_sim,message,null_dist1,null_dist2,significant,sig_label
DEGAS,200,2,0.308,-0.91697,0.93601,Anderson-Darling,0,0.75419,0,asymptotic,1,OK,,,FALSE,ns
LP_SGL,300,3,0.374,-1.522,0.9999,Anderson-Darling,0,1.06814,0,asymptotic,1,OK,,,FALSE,ns
PIPET,,,,,,,,,,,,分组数不足,,,,ns
scAB,200,2,0.196,-1.0664,0.99332,Anderson-Darling,0,0.75419,0,asymptotic,1,OK,,,FALSE,ns
scPAS,200,2,0.0521,-1.2568,1,Anderson-Darling,0,0.75419,0,asymptotic,1,OK,,,FALSE,ns
scPP,300,3,0.279,-1.6115,1,Anderson-Darling,0,1.06814,0,asymptotic,1,OK,,,FALSE,ns
scissor,300,3,0.237,-1.6503,1,Anderson-Darling,0,1.06814,0,asymptotic,1,OK,,,FALSE,ns
