"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
NPC2,8.15904258701433e-13,0.993749703315894,0.534,0.279,9.45714626260831e-09
GNAS,8.77697846038526e-13,0.76089868425344,0.643,0.286,1.01733957334326e-08
JUND,3.10278600968529e-12,0.725725455540946,0.587,0.26,3.59643926382622e-08
TOMM20,9.93035641224658e-12,0.735985827659013,0.598,0.269,1.1510276117435e-07
ZFAND5,1.24937092344222e-11,0.835542205604143,0.547,0.255,1.44814583736187e-07
PEBP1,1.77477979038491e-11,0.777676506103722,0.627,0.311,2.05714725503515e-07
AHSA1,3.43951965252135e-11,0.713831942581221,0.576,0.274,3.98674722923749e-07
SSR3,3.79282631296942e-11,0.786794041663456,0.515,0.221,4.39626497936285e-07
TCP1,4.89985222949457e-11,0.710919972324334,0.558,0.257,5.67941871920716e-07
TALDO1,1.02625082298315e-10,0.827496683335548,0.507,0.223,1.18952732891977e-06
