"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
BCL7C,5.40479769460552e-19,1.06036672494638,0.535,0.152,6.26470100781726e-15
RNF187,5.48248769620009e-19,0.975836646803328,0.638,0.23,6.35475148866552e-15
NAXE,7.44140714062124e-19,0.785324355234481,0.755,0.335,8.62533501669408e-15
MRPL41,8.1164754739104e-19,0.717869948295476,0.815,0.404,9.40780672180954e-15
SDF4,8.81950675548067e-19,0.884785036917318,0.714,0.287,1.02226902802776e-14
TIMM17A,8.8982727163668e-19,1.01576769146112,0.578,0.183,1.03139879055408e-14
EIF2AK4,1.23736433416571e-18,1.23060062695924,0.514,0.143,1.43422899973148e-14
HSPB11,1.42622040175661e-18,0.956371472590175,0.587,0.196,1.65313206767609e-14
PFDN4,1.52224713830451e-18,0.855400196333182,0.586,0.187,1.76443665800876e-14
COPS6,1.52557062520008e-18,0.956499286355916,0.696,0.287,1.76828891166941e-14
ACBD3,1.68331689270835e-18,1.00061886394886,0.574,0.174,1.95113261033825e-14
METTL9,1.80530214942966e-18,1.00891599713535,0.641,0.23,2.09252572140391e-14
UGDH,1.80677864554986e-18,1.32046246157536,0.512,0.161,2.09423712805685e-14
S100A16,1.9032237668143e-18,1.05140205800851,0.646,0.3,2.20602666811446e-14
HSPA1B,2.05845870120395e-18,1.08274070725219,0.741,0.348,2.3859594805655e-14
NAPRT,2.11947124233768e-18,1.12459381078696,0.532,0.161,2.45667911699361e-14
CREB3L2,2.128880704434e-18,1.33532393430449,0.535,0.17,2.46758562450945e-14
POLR2H,2.63461553978648e-18,0.88796639112365,0.664,0.257,3.05378287216651e-14
MT-ND6,2.85345782406949e-18,1.4087504732947,0.529,0.183,3.30744296387895e-14
CACYBP,3.25808174037416e-18,0.885975069303809,0.717,0.296,3.77644254526768e-14
TIMM9,3.3992189828682e-18,1.02128505813307,0.551,0.165,3.94003472304253e-14
CHMP1B,3.44032793787576e-18,1.08062324347003,0.564,0.187,3.9876841127918e-14
CDK2AP1,3.57448883682997e-18,1.03056002382211,0.523,0.157,4.14319001076962e-14
METTL26,3.81227922814872e-18,0.752068231159633,0.775,0.417,4.41881285334718e-14
NELFE,4.14820965188847e-18,0.935500327227158,0.573,0.183,4.80818980750393e-14
SRPRA,4.45864735851214e-18,1.08612528447765,0.598,0.204,5.16801815325142e-14
ADIRF,5.17765984355807e-18,-0.979961647651661,0.42,0.709,6.00142552466815e-14
RPA3,5.46461334593193e-18,1.03528799796791,0.633,0.248,6.3340333292697e-14
CORO1B,5.66493492626956e-18,1.05368009577156,0.626,0.239,6.56622607303905e-14
RHOC,6.01731130200708e-18,1.03656673836594,0.627,0.278,6.97466553015641e-14
TMEM263,6.18456036173515e-18,1.04515708710224,0.514,0.143,7.16852391528721e-14
CLNS1A,8.52162552473216e-18,0.847787506989453,0.614,0.217,9.87741614571704e-14
FAM3C,9.69194842916437e-18,0.835197675207206,0.669,0.252,1.12339374242444e-13
TRAF4,1.04722546346013e-17,1.21799959378333,0.501,0.143,1.21383903469664e-13
