full_group,type,cluster,mean_score,rest_mean_score,diff,group.x,method.x,type_sub.x,estimate,statistic,p.value,conf.low,conf.high,method.y,alternative,null.value,screen_method,bulk,type_pheno,group.y,ssGSEA type,type_sub.y,neg_log10_p,label,tumor_type
neg | LP_SGL | Positive vs Rest,neg_marker_score,LP_SGL_Positive,0.344118178511544,0.375417004374941,0.916629173695772,Positive vs Rest,LP_SGL,neg,-0.00884709108140914,15279718,2.72502009981122e-17,-0.0110055491258871,-0.00673911093518501,Wilcoxon rank sum test with continuity correction,two.sided,0,LP_SGL,GSE42568,survival,Positive vs Rest,neg_ssGSEA,neg,16.5646302900094,***,HER2
neg | scAB | Positive vs Rest,neg_marker_score,scAB_Positive,0.412934483869885,0.371651307824799,1.1110804002997,Positive vs Rest,scAB,neg,0.0129355021175546,36173115,3.50237320578455e-50,0.0112491517174303,0.0146009348524051,Wilcoxon rank sum test with continuity correction,two.sided,0,scAB,GSE42568,survival,Positive vs Rest,neg_ssGSEA,neg,49.4556375782477,***,HER2
neg | SCIPAC | Positive vs Rest,neg_marker_score,SCIPAC_Positive,0.42616971062762,0.374119443593312,1.13912740416371,Positive vs Rest,SCIPAC,neg,0.0150576343285194,1804552,0.000480605087682071,0.00658380945312577,0.0238444344210231,Wilcoxon rank sum test with continuity correction,two.sided,0,SCIPAC,GSE42568,survival,Positive vs Rest,neg_ssGSEA,neg,3.31821163606946,***,HER2
neg | scissor | Positive vs Rest,neg_marker_score,scissor_Positive,0.351780880197878,0.375474277132056,0.936897416475099,Positive vs Rest,scissor,neg,-0.00437828202726479,22632184,4.76423670640115e-07,-0.00612150842752518,-0.0026786496564231,Wilcoxon rank sum test with continuity correction,two.sided,0,scissor,GSE42568,survival,Positive vs Rest,neg_ssGSEA,neg,6.32200666916028,***,HER2
neg | scPAS | Positive vs Rest,neg_marker_score,scPAS_Positive,0.376886465710755,0.37419039489816,1.00720507754703,Positive vs Rest,scPAS,neg,0.000831083533245167,15268101,0.500073420453164,-0.00158637670216062,0.00326889443585065,Wilcoxon rank sum test with continuity correction,two.sided,0,scPAS,GSE42568,survival,Positive vs Rest,neg_ssGSEA,neg,0.30096622815037,NS,HER2
neg | scPP | Positive vs Rest,neg_marker_score,scPP_Positive,0.347982190883442,0.375535105636506,0.926630255495384,Positive vs Rest,scPP,neg,-0.00679414119619979,19637992,8.48395887044683e-14,-0.00863694928114465,-0.00497372970456609,Wilcoxon rank sum test with continuity correction,two.sided,0,scPP,GSE42568,survival,Positive vs Rest,neg_ssGSEA,neg,13.0714014455752,***,HER2
pos | DEGAS | Positive vs Rest,pos_marker_score,DEGAS_Positive,0.347833348506172,0.371588451170988,0.936071472108574,Positive vs Rest,DEGAS,pos,-0.0111193820791247,20903035,1.92790120830253e-19,-0.0136284136166861,-0.00866722612709605,Wilcoxon rank sum test with continuity correction,two.sided,0,DEGAS,GSE42568,survival,Positive vs Rest,pos_ssGSEA,pos,18.7149152244728,***,HER2
pos | LP_SGL | Positive vs Rest,pos_marker_score,LP_SGL_Positive,0.3697405675424,0.370425431363765,0.998151142542122,Positive vs Rest,LP_SGL,pos,-0.0040211629978149,17112248,0.0119766827462135,-0.00715265177836412,-0.000877400701221596,Wilcoxon rank sum test with continuity correction,two.sided,0,LP_SGL,GSE42568,survival,Positive vs Rest,pos_ssGSEA,pos,1.92166345444345,*,HER2
pos | scAB | Positive vs Rest,pos_marker_score,scAB_Positive,0.394731308348041,0.368750513065451,1.07045629595633,Positive vs Rest,scAB,pos,0.0133361668837306,34605054,4.69531861276019e-28,0.0109824558944709,0.0157099599344717,Wilcoxon rank sum test with continuity correction,two.sided,0,scAB,GSE42568,survival,Positive vs Rest,pos_ssGSEA,pos,27.3283349322437,***,HER2
pos | SCIPAC | Positive vs Rest,pos_marker_score,SCIPAC_Positive,0.403646518505589,0.370302055174476,1.09004666019313,Positive vs Rest,SCIPAC,pos,0.0166757181201385,1746659,0.00449170013291104,0.00526388851257986,0.0278962545803703,Wilcoxon rank sum test with continuity correction,two.sided,0,SCIPAC,GSE42568,survival,Positive vs Rest,pos_ssGSEA,pos,2.3475892450573,**,HER2
