"",gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
1,ZFP36,0.906299570266585,10.7190103669549,3.79140545010266,0.000225068605588768,0.661388847945708,-2.01406575037579
2,SLC44A4,-1.16897957950491,6.53896911523308,-3.54212810034902,0.000545572588092233,0.661388847945708,-2.3531414027595
3,MMP9,-0.991340807717854,8.94432413479699,-3.47521675828328,0.000686898516867454,0.661388847945708,-2.44131608722449
4,FGFBP1,0.645264987917691,5.86364617385714,3.44375424235374,0.00076464594669745,0.661388847945708,-2.48234803213318
5,FOS,1.15096810666585,9.72448308109774,3.41401105759592,0.00084567624761942,0.661388847945708,-2.52088260415452
6,FGD3,-0.593943686610565,5.43738106673684,-3.40423419427398,0.000874024599180748,0.661388847945708,-2.5334947991739
7,IL1RN,-0.848040983684275,7.66812032678196,-3.39715253005455,0.000895111822173907,0.661388847945708,-2.5426132746038
8,NR4A1,0.762041430656429,8.51049198418045,3.36458551050459,0.000998370889038189,0.661388847945708,-2.58436356522599
9,PID1,0.738678282361999,6.75311451387218,3.3512329686942,0.00104384751033034,0.661388847945708,-2.60139369962381
10,DUSP1,0.781752573262081,11.1026042565564,3.25066904961508,0.00145395054830369,0.661388847945708,-2.72799878045792
11,CYR61,0.770704277974202,11.1988617103233,3.23119114570135,0.00154902161452489,0.661388847945708,-2.75217867328166
12,EGR1,1.006028723905,8.98234567790978,3.10725196031308,0.00230293716719918,0.661388847945708,-2.90338629697848
13,FOSB,1.10536877561302,8.12483919479699,2.88606607598259,0.00454373708036815,0.661388847945708,-3.1615248767278
14,RABEP1,-0.644821830810811,6.26582714308271,-2.87005123617435,0.00476613152422225,0.661388847945708,-3.17961652198053
15,EZR,-0.789717140404996,7.85810679952632,-2.85468804879428,0.00498879437198978,0.661388847945708,-3.19689463485932
16,CA11,0.6243293948276,6.64293361251128,2.82086451523893,0.00551289629160823,0.661388847945708,-3.23466580981995
17,PLA2G7,-0.836232201328419,7.23023729034586,-2.81150916011523,0.00566647937534339,0.661388847945708,-3.24504765514956
18,EMP1,0.605270896878788,4.90549481364662,2.76177170912307,0.00655048904617946,0.661388847945708,-3.299763506038
19,CCR7,-0.712709858973792,6.84002836851128,-2.73809097989728,0.00701396089779448,0.661388847945708,-3.32552963367062
20,CXCL14,1.00772952647379,11.1209939192406,2.71845110355993,0.0074207201183701,0.661388847945708,-3.3467587650033
21,GSTM3,-0.716639053988534,10.6152047858571,-2.70653028322211,0.00767792764557432,0.661388847945708,-3.35958194892802
22,PEG3,1.03161747292301,7.60604308429323,2.70538140627186,0.00770313819882081,0.661388847945708,-3.36081530127139
23,FAM89A,0.593238094933661,7.54657746439098,2.69727793599552,0.00788309888554315,0.661388847945708,-3.36950215584474
24,IRS2,0.605490252034808,8.4071679941203,2.69713401463736,0.00788632920430982,0.661388847945708,-3.3696562411045
25,CTNNA1,-0.98366321163063,6.93113636969173,-2.61505094825113,0.00993643096372044,0.661388847945708,-3.45640773221189
26,SCYL2,-0.813532141839476,5.85343026218797,-2.5875375682914,0.0107242173807487,0.661388847945708,-3.48497822258136
27,EIF4A2,-0.630767461086814,5.11668718668421,-2.57134011190728,0.0112138367994651,0.661388847945708,-3.50167784866481
28,KIAA1324,-0.770462241902539,8.9713450806015,-2.52695935983431,0.0126598318615314,0.661388847945708,-3.54697571776557
29,BIK,-0.583326560395577,9.08221465675188,-2.50456602263721,0.0134509968091859,0.661388847945708,-3.5695753095259
30,KRT23,0.933047480049959,7.75918839740602,2.49330793382434,0.0138652014360775,0.661388847945708,-3.58087179372935
31,TPR,-0.615222002522932,4.88650503194737,-2.49294843973451,0.0138786134583526,0.661388847945708,-3.58123179253662
32,C15orf48,-0.826177639824734,9.39482438830075,-2.46110444545507,0.0151135904739859,0.661388847945708,-3.61294291556902
33,CFH,0.586552529169533,8.8439291222782,2.44918566227148,0.0156004207276894,0.661388847945708,-3.62472140496948
34,CD46,-0.643514878226453,8.88028332000752,-2.40897023355336,0.0173475848967332,0.661388847945708,-3.66409762909328
35,CCL18,-0.789815916796478,7.78276333051128,-2.39563777955358,0.0179639736739285,0.661388847945708,-3.67702681288046
36,LMNB1,-0.638292343112203,7.60598328956391,-2.37846153010142,0.0187866189799992,0.661388847945708,-3.69359136083647
37,SOWAHA,-0.751892374297707,5.63246389255639,-2.36074658372778,0.019669796096256,0.661388847945708,-3.71056640650373
38,ABCD3,-0.771947456817773,6.6547673662782,-2.34952706302726,0.0202479270761249,0.661388847945708,-3.72125991442545
39,ERBB2,-0.794336278491401,6.00426256206767,-2.32498252961808,0.0215652104976566,0.661388847945708,-3.7444980080343
40,TSPAN1,-0.774422669119983,8.45313568042105,-2.30179092603021,0.0228786076152293,0.661388847945708,-3.76625816619178
41,ADAMDEC1,-1.08590327654136,7.76170372607519,-2.27993416274023,0.0241801998757919,0.661388847945708,-3.78658996955517
42,PRLR,-0.660600432142097,5.64802766743609,-2.26622183019857,0.0250295273105158,0.661388847945708,-3.79925816582043
43,NAB1,-0.608098175485667,5.08786695345113,-2.25919997212705,0.0254744809083233,0.661388847945708,-3.80571918314356
44,S100A1,0.59660045171294,7.02969143442857,2.25786929291393,0.0255595775616614,0.661388847945708,-3.80694158092974
45,EZH2,-0.584118408767813,7.05623343836842,-2.24778991951008,0.0262122650511344,0.661388847945708,-3.8161800584601
46,CDH1,-0.751049170850123,6.79125678805263,-2.21820319690717,0.0282129762096014,0.661388847945708,-3.84308666884385
47,FXYD1,0.640099206367731,7.62781815418045,2.20471291103733,0.0291685454666088,0.661388847945708,-3.85524977792197
