tred,repeat_times,alpha_samples,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
1.5,15,5e-04|0.001|0.005|0.01|0.05,0.999887665693103,0.998649417116861,0.00135058288313904,0.000112334306897326,0.558914947725346,0.999887665693103,0.717027489678784,0.559142821285141
1.5,12,5e-04|0.001|0.005|0.01|0.05,0.999887665693103,0.998649417116861,0.00135058288313904,0.000112334306897326,0.558914947725346,0.999887665693103,0.717027489678784,0.559142821285141
5,10,5e-04|0.001|0.005|0.01|0.05,0.999887665693103,0.998649417116861,0.00135058288313904,0.000112334306897326,0.558914947725346,0.999887665693103,0.717027489678784,0.559142821285141
1,10,5e-04|0.001|0.005|0.01|0.05,0.999887665693103,0.998649417116861,0.00135058288313904,0.000112334306897326,0.558914947725346,0.999887665693103,0.717027489678784,0.559142821285141
3,11,5e-04|0.001|0.005|0.01|0.05,0.999719164232757,0.983366505544498,0.0166334944555018,0.000280835767243316,0.562671893276009,0.999719164232757,0.720067965289156,0.565794427710844
2.5,19,5e-04|0.001|0.005|0.01|0.05,0.999887665693103,0.998649417116861,0.00135058288313904,0.000112334306897326,0.558914947725346,0.999887665693103,0.717027489678784,0.559142821285141
2,20,5e-04|0.001|0.005|0.01|0.05,0.999887665693103,0.998649417116861,0.00135058288313904,0.000112334306897326,0.558914947725346,0.999887665693103,0.717027489678784,0.559142821285141
3,5,5e-04|0.001|0.005|0.01|0.05,0.999887665693103,0.998649417116861,0.00135058288313904,0.000112334306897326,0.558914947725346,0.999887665693103,0.717027489678784,0.559142821285141
4.5,10,5e-04|0.001|0.005|0.01|0.05,0.999887665693103,0.998649417116861,0.00135058288313904,0.000112334306897326,0.558914947725346,0.999887665693103,0.717027489678784,0.559142821285141
5,6,5e-04|0.001|0.005|0.01|0.05,0.999887665693103,0.998649417116861,0.00135058288313904,0.000112334306897326,0.558914947725346,0.999887665693103,0.717027489678784,0.559142821285141
2.5,5,5e-04|0.001|0.005|0.01|0.05,0.999887665693103,0.998649417116861,0.00135058288313904,0.000112334306897326,0.558914947725346,0.999887665693103,0.717027489678784,0.559142821285141
1.5,6,5e-04|0.001|0.005|0.01|0.05,0.999887665693103,0.998649417116861,0.00135058288313904,0.000112334306897326,0.558914947725346,0.999887665693103,0.717027489678784,0.559142821285141
4.5,8,5e-04|0.001|0.005|0.01|0.05,0.999719164232757,0.983366505544498,0.0166334944555018,0.000280835767243316,0.562671893276009,0.999719164232757,0.720067965289156,0.565794427710844
4.5,17,5e-04|0.001|0.005|0.01|0.05,0.999719164232757,0.983366505544498,0.0166334944555018,0.000280835767243316,0.562671893276009,0.999719164232757,0.720067965289156,0.565794427710844
4.5,9,5e-04|0.001|0.005|0.01|0.05,0.999719164232757,0.983366505544498,0.0166334944555018,0.000280835767243316,0.562671893276009,0.999719164232757,0.720067965289156,0.565794427710844
1.5,10,5e-04|0.001|0.005|0.01|0.05,0.999887665693103,0.998649417116861,0.00135058288313904,0.000112334306897326,0.558914947725346,0.999887665693103,0.717027489678784,0.559142821285141
