alpha,cutoff,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
0.55,0.05,0.0327454504605707,0.0238129087290304,0.97618709127097,0.967254549539429,0.635076252723312,0.0327454504605707,0.0622796709753232,0.449171686746988
0.35,0.1,0.0604358571107616,0.0405174864941712,0.959482513505829,0.939564142889238,0.653705953827461,0.0604358571107616,0.110642673521851,0.45726656626506
0.2,0.15,0.10042687036621,0.0690929769690077,0.930907023030992,0.89957312963379,0.647826086956522,0.10042687036621,0.173896129157751,0.46699297188755
0.15,0.2,0.126769265333633,0.0841626386124538,0.915837361387546,0.873230734666367,0.655913978494624,0.126769265333633,0.212473523181925,0.475056475903615
0.1,0.25,0.16344641653561,0.108117713960762,0.891882286039238,0.83655358346439,0.656736628300609,0.16344641653561,0.261749494040926,0.484971134538153
0.1,0.3,0.16344641653561,0.108117713960762,0.891882286039238,0.83655358346439,0.656736628300609,0.16344641653561,0.261749494040926,0.484971134538153
0.05,0.35,0.225904291170524,0.148777367074211,0.851222632925789,0.774095708829477,0.65772690106296,0.225904291170524,0.336301684853046,0.50191390562249
0.05,0.4,0.225904291170524,0.148777367074211,0.851222632925789,0.774095708829477,0.65772690106296,0.225904291170524,0.336301684853046,0.50191390562249
0.05,0.45,0.225904291170524,0.148777367074211,0.851222632925789,0.774095708829477,0.65772690106296,0.225904291170524,0.336301684853046,0.50191390562249
0.05,0.5,0.225904291170524,0.148777367074211,0.851222632925789,0.774095708829477,0.65772690106296,0.225904291170524,0.336301684853046,0.50191390562249
