hvg,bt_size,nfold,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
1500,30,22,0.188553134127162,0.00398066533977822,0.996019334660222,0.811446865872838,0.983592147670671,0.188553134127162,0.316444360654192,0.54496109437751
5000,70,28,0.188553134127162,0.00398066533977822,0.996019334660222,0.811446865872838,0.983592147670671,0.188553134127162,0.316444360654192,0.54496109437751
4000,100,4,0.188384632666816,0.00504691498436167,0.994953085015638,0.811615367333184,0.979270072992701,0.188384632666816,0.315982853643601,0.544396335341365
5000,70,30,0.209896652437654,0.0022746659084447,0.997725334091555,0.790103347562346,0.991509684266384,0.209896652437654,0.346451582997265,0.557636797188755
4000,100,6,0.178948550887441,0.0021324992891669,0.997867500710833,0.821051449112559,0.990671641791045,0.178948550887441,0.30313986679353,0.540411646586345
1000,70,16,0.0456638957537632,0.00326983224338925,0.996730167756611,0.954336104246237,0.946449359720605,0.0456638957537632,0.0871242565503938,0.465455572289157
3000,70,26,0.132442147831948,0.0191214102928632,0.980878589707137,0.867557852168052,0.897601827179292,0.132442147831948,0.230825706034947,0.506933985943775
3000,50,18,0.265670635812177,0.00575774808075064,0.994242251919249,0.734329364187823,0.983163583454583,0.265670635812177,0.418306433782887,0.587255271084337
3500,70,18,0.21090766119973,0.00241683252772249,0.997583167472277,0.78909233880027,0.991026656109791,0.21090766119973,0.347797897466772,0.558138805220884
5000,100,24,0.212087171422152,0.00689508103497299,0.993104918965027,0.787912828577848,0.974954815388588,0.212087171422152,0.348387692023804,0.556821034136546
500,80,24,0.100595371826556,0.00291441569519477,0.997085584304805,0.899404628173444,0.977620087336244,0.100595371826556,0.182420044815645,0.496297690763052
4000,30,24,0.347450011233431,0.00575774808075064,0.994242251919249,0.652549988766569,0.987075155576831,0.347450011233431,0.513979477379419,0.632938002008032
3500,50,8,0.0902044484385531,0.00291441569519477,0.997085584304805,0.909795551561447,0.975106253794778,0.0902044484385531,0.165132898051514,0.490493222891566
3000,40,16,0.0902044484385531,0.00291441569519477,0.997085584304805,0.909795551561447,0.975106253794778,0.0902044484385531,0.165132898051514,0.490493222891566
500,90,28,0.21090766119973,0.00241683252772249,0.997583167472277,0.78909233880027,0.991026656109791,0.21090766119973,0.347797897466772,0.558138805220884
2000,10,4,0.41260390923388,0.00725049758316747,0.992749502416833,0.58739609076612,0.986305048335124,0.41260390923388,0.581815301758277,0.668674698795181
4000,30,8,0.410413390249382,0.0044071651976116,0.995592834802388,0.589586609750618,0.991586375356222,0.410413390249382,0.580542644897311,0.668706074297189
5000,100,10,0.21090766119973,0.00241683252772249,0.997583167472277,0.78909233880027,0.991026656109791,0.21090766119973,0.347797897466772,0.558138805220884
1500,70,10,0.235396540103348,0.00241683252772249,0.997583167472277,0.764603459896653,0.991952662721894,0.235396540103348,0.380498433882609,0.571818524096386
4500,100,30,0.235396540103348,0.00241683252772249,0.997583167472277,0.764603459896653,0.991952662721894,0.235396540103348,0.380498433882609,0.571818524096386
2000,100,26,0.410413390249382,0.0044071651976116,0.995592834802388,0.589586609750618,0.991586375356222,0.410413390249382,0.580542644897311,0.668706074297189
5000,70,16,0.237699393394743,0.00490474836508388,0.995095251634916,0.762300606605257,0.983957219251337,0.237699393394743,0.382899796426148,0.572006777108434
3500,40,22,0.0116266007638733,0.00462041512652829,0.995379584873472,0.988373399236127,0.761029411764706,0.0116266007638733,0.0229032971896437,0.445845883534137
1000,100,6,0.100595371826556,0.00291441569519477,0.997085584304805,0.899404628173444,0.977620087336244,0.100595371826556,0.182420044815645,0.496297690763052
2000,40,14,0.265670635812177,0.00575774808075064,0.994242251919249,0.734329364187823,0.983163583454583,0.265670635812177,0.418306433782887,0.587255271084337
4500,90,24,0.178948550887441,0.0021324992891669,0.997867500710833,0.821051449112559,0.990671641791045,0.178948550887441,0.30313986679353,0.540411646586345
4500,20,16,0.0598180184228263,0.00483366505544498,0.995166334944555,0.940181981577174,0.939982347749338,0.0598180184228263,0.11247821724666,0.472671937751004
2000,80,30,0.212087171422152,0.00689508103497299,0.993104918965027,0.787912828577848,0.974954815388588,0.212087171422152,0.348387692023804,0.556821034136546
4000,100,10,0.070545944731521,0.00248791583736139,0.997512084162639,0.929454055268479,0.972889233152595,0.070545944731521,0.131552762503273,0.479700050200803
3000,10,8,0.219164232756684,0.00426499857833381,0.995735001421666,0.780835767243316,0.984856133266027,0.219164232756684,0.358540843517413,0.561935240963855
4500,90,28,0.265670635812177,0.00575774808075064,0.994242251919249,0.734329364187823,0.983163583454583,0.265670635812177,0.418306433782887,0.587255271084337
2500,60,18,0.209896652437654,0.0022746659084447,0.997725334091555,0.790103347562346,0.991509684266384,0.209896652437654,0.346451582997265,0.557636797188755
1500,70,28,0.026510896427769,0.00270116576627808,0.997298834233722,0.973489103572231,0.925490196078431,0.026510896427769,0.051545265916785,0.455007530120482
500,10,16,0.000112334306897326,0.00270116576627808,0.997298834233722,0.999887665693103,0.05,0.000112334306897326,0.000224164985429276,0.440261044176707
500,30,26,0.215176364861829,0.00753483082172306,0.992465169178277,0.784823635138171,0.973075946151892,0.215176364861829,0.352421691734511,0.558264307228916
2500,20,16,0.100595371826556,0.00291441569519477,0.997085584304805,0.899404628173444,0.977620087336244,0.100595371826556,0.182420044815645,0.496297690763052
5000,50,8,0.123848573354302,0.00270116576627808,0.997298834233722,0.876151426645698,0.983058403923317,0.123848573354302,0.219983039856338,0.509381275100402
5000,100,10,0.026510896427769,0.00270116576627808,0.997298834233722,0.973489103572231,0.925490196078431,0.026510896427769,0.051545265916785,0.455007530120482
1500,60,22,0.0691417658953044,0.00483366505544498,0.995166334944555,0.930858234104696,0.947652040030793,0.0691417658953044,0.128880280584201,0.477880271084337
1500,70,10,0.265670635812177,0.00575774808075064,0.994242251919249,0.734329364187823,0.983163583454583,0.265670635812177,0.418306433782887,0.587255271084337
1500,90,18,0.265670635812177,0.00575774808075064,0.994242251919249,0.734329364187823,0.983163583454583,0.265670635812177,0.418306433782887,0.587255271084337
500,100,8,0.130420130307796,0.00362524879158374,0.996374751208416,0.869579869692204,0.978508217446271,0.130420130307796,0.230163056946028,0.512644327309237
5000,40,20,0.235396540103348,0.00241683252772249,0.997583167472277,0.764603459896653,0.991952662721894,0.235396540103348,0.380498433882609,0.571818524096386
4000,20,14,0.244046281734442,0.00760591413136196,0.992394085868638,0.755953718265558,0.97596585804133,0.244046281734442,0.390456506110712,0.574359939759036
4500,40,20,0.212087171422152,0.00689508103497299,0.993104918965027,0.787912828577848,0.974954815388588,0.212087171422152,0.348387692023804,0.556821034136546
4000,30,26,0.0341496292967872,0.00270116576627808,0.997298834233722,0.965850370703213,0.941176470588235,0.0341496292967872,0.0659078590785908,0.459274598393574
2000,60,4,0.219164232756684,0.00426499857833381,0.995735001421666,0.780835767243316,0.984856133266027,0.219164232756684,0.358540843517413,0.561935240963855
1000,80,4,0.132442147831948,0.00156383281205573,0.998436167187944,0.867557852168052,0.990756302521008,0.132442147831948,0.233650416171225,0.514683734939759
1500,70,28,0.0402156818692429,0.00270116576627808,0.997298834233722,0.959784318130757,0.949602122015915,0.0402156818692429,0.0771634874447678,0.462663152610442
3000,40,2,0.130420130307796,0.00362524879158374,0.996374751208416,0.869579869692204,0.978508217446271,0.130420130307796,0.230163056946028,0.512644327309237
1000,50,10,0.026510896427769,0.00270116576627808,0.997298834233722,0.973489103572231,0.925490196078431,0.026510896427769,0.051545265916785,0.455007530120482
