meta_column,n_samples,n_groups,AS_stat,T_AV_stat,p_value,test_name,n_ties,sig,warning,null_dist1,null_dist2,method,n_sim,message,significant,sig_label
DEGAS,,,,,,,,,,,,,,No enough groups,,ns
LP_SGL,300,3,1.01,-0.9263,0.86917,Anderson-Darling,0,1.06814,FALSE,,,asymptotic,1,OK,FALSE,ns
PIPET,300,3,15.7,12.836,8.8587e-08,Anderson-Darling,0,1.06814,FALSE,,,asymptotic,1,OK,TRUE,***
scAB,200,2,5.48,5.934,0.0016115,Anderson-Darling,0,0.75419,FALSE,,,asymptotic,1,OK,TRUE,**
scPAS,300,3,2.65,0.60641,0.20963,Anderson-Darling,0,1.06814,FALSE,,,asymptotic,1,OK,FALSE,ns
scPP,300,3,0.271,-1.6189,1,Anderson-Darling,0,1.06814,FALSE,,,asymptotic,1,OK,FALSE,ns
scissor,300,3,0.435,-1.4654,0.99944,Anderson-Darling,0,1.06814,FALSE,,,asymptotic,1,OK,FALSE,ns
