meta_column,n_samples,n_groups,AS_stat,T_AV_stat,p_value,test_name,n_ties,sig,warning,method,n_sim,message,null_dist1,null_dist2,significant,sig_label
LP_SGL,300,3,0.463,-1.4391,0.99895,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,,,FALSE,ns
PIPET,,,,,,,,,,,,No enough groups,,,,ns
scAB,200,2,0.131,-1.1523,0.99977,Anderson-Darling,0,0.75419,FALSE,asymptotic,1,OK,,,FALSE,ns
scPAS,300,3,0.184,-1.6999,1,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,,,FALSE,ns
scPP,300,3,0.274,-1.6159,1,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,,,FALSE,ns
scissor,300,3,0.419,-1.4803,0.99962,Anderson-Darling,0,1.06814,FALSE,asymptotic,1,OK,,,FALSE,ns
