"",nfeature,y_axis,Accuracy
1,4900,ALRA | TRUE,0.190323795180723
2,3600,KNN | TRUE,0.28156375502008
3,4200,KNN | TRUE,0.173851656626506
4,4700,None | TRUE,0.408791415662651
5,3900,None | FALSE,0.421372991967871
6,1500,KNN | FALSE,0.399441516064257
7,2300,ALRA | FALSE,0.347546435742972
8,800,KNN | FALSE,0.386765813253012
9,3300,KNN | TRUE,0.313817771084337
10,1100,KNN | TRUE,0.368756275100402
11,4300,ALRA | FALSE,0.38265562248996
12,3000,ALRA | FALSE,0.364583333333333
13,600,None | TRUE,0.437531375502008
14,900,None | TRUE,0.429248242971888
15,2900,None | FALSE,0.418894327309237
16,800,None | TRUE,0.430566014056225
17,1500,None | FALSE,0.425796937751004
18,700,ALRA | FALSE,0.367689508032129
19,3000,ALRA | FALSE,0.36304593373494
20,4000,None | TRUE,0.408540411646586
21,1000,KNN | TRUE,0.386169678714859
22,500,None | TRUE,0.441390562248996
23,1100,KNN | TRUE,0.368756275100402
24,4700,KNN | TRUE,0.310052710843374
25,600,KNN | TRUE,0.441390562248996
26,5000,None | TRUE,0.418894327309237
27,4700,ALRA | TRUE,0.303683483935743
28,1300,None | FALSE,0.423224146586345
29,3400,ALRA | FALSE,0.373619477911647
30,3700,ALRA | FALSE,0.381118222891566
31,3900,KNN | TRUE,0.275414156626506
32,2900,ALRA | FALSE,0.360755522088353
33,4900,None | TRUE,0.415599899598394
34,4300,KNN | FALSE,0.353758785140562
35,1100,None | TRUE,0.425953815261044
36,4900,ALRA | TRUE,0.298004518072289
37,3400,KNN | TRUE,0.30484437751004
38,1200,KNN | FALSE,0.364175451807229
39,4000,None | FALSE,0.422753514056225
40,3000,None | FALSE,0.4175765562249
41,3500,None | TRUE,0.410297439759036
42,1100,ALRA | FALSE,0.392350652610442
43,1300,ALRA | FALSE,0.40082203815261
44,1300,KNN | TRUE,0.369634789156627
45,3300,None | TRUE,0.411615210843373
46,1600,ALRA | TRUE,0.376694277108434
47,4800,KNN | TRUE,0.308107429718876
48,2400,None | FALSE,0.413340863453815
49,3000,ALRA | FALSE,0.364112700803213
50,1700,ALRA | TRUE,0.365869728915663
51,2000,None | TRUE,0.412054467871486
